Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.80029,1.10934,0.41195,0.23861,0.47152,1.08297,1.17017,1.05857,0.64663,0.36824,0.587,0.96285,0.93181,0.57044,0.21975,0.17205
5 to 9,1.24829,7.62093,2.47382,0.51376,0.34104,0.51428,1.33242,1.52072,1.04928,0.68307,0.66604,1.00533,0.86456,0.79983,0.57729,0.22485
10 to 14,0.68983,1.66525,11.09165,2.87869,0.41214,0.26035,0.94573,1.26327,1.18594,0.77021,0.88425,0.64315,0.51769,0.60512,0.43117,0.2957
15 to 19,0.41651,0.49624,0.96697,6.72374,2.25262,0.7581,0.40667,0.65393,0.88794,0.99151,0.90957,0.72337,0.4959,0.30585,0.34917,0.22644
20 to 24,0.67958,0.2945,0.39646,1.19612,3.94836,2.349,1.16442,0.7226,0.9077,0.89377,1.05404,0.76688,0.47721,0.30504,0.10979,0.08277
25 to 29,1.06189,0.73972,0.35488,0.58607,2.00484,3.67046,2.06016,1.37401,1.20538,1.02275,1.41058,1.18871,0.71698,0.3955,0.22453,0.08148
30 to 34,1.22856,1.08164,0.54468,0.4142,1.25829,2.15289,2.87266,1.75808,1.56716,1.18254,1.26794,1.25379,0.81124,0.57052,0.20703,0.13048
35 to 39,1.05354,1.1261,0.77363,0.62438,1.03546,1.57745,2.04802,2.54199,1.76091,1.36634,1.21065,0.93232,0.82947,0.56385,0.36554,0.18779
40 to 44,0.67495,0.93371,0.88723,0.78168,1.00434,1.39135,1.61197,2.07225,2.45894,1.60281,1.79008,1.08909,0.72668,0.50198,0.37176,0.18192
45 to 49,0.44795,0.45284,0.53841,0.72438,1.19361,1.25886,1.31936,1.41406,1.80092,1.89311,1.99577,0.99404,0.62905,0.28438,0.27662,0.18591
50 to 54,0.54711,0.34056,0.32911,0.38886,0.85492,1.2455,1.13518,1.08523,1.33286,1.30132,1.85158,1.24733,0.63916,0.33292,0.22608,0.18244
55 to 59,0.49025,0.36479,0.20145,0.17527,0.45786,0.61369,0.77666,0.57953,0.44359,0.53698,0.91996,1.06336,0.67151,0.36055,0.1745,0.11102
60 to 64,0.36282,0.34932,0.15514,0.11855,0.19003,0.27663,0.40266,0.44468,0.31868,0.23923,0.36087,0.54828,0.61032,0.36818,0.30081,0.08521
65 to 69,0.27804,0.23956,0.15513,0.09208,0.09491,0.12484,0.19805,0.27318,0.18493,0.11801,0.14167,0.24518,0.34608,0.40228,0.26538,0.12477
70 to 74,0.18638,0.12665,0.12152,0.05796,0.10739,0.07035,0.10992,0.16901,0.13025,0.10746,0.10567,0.12236,0.21049,0.18635,0.29314,0.11023
75+,0.09849,0.09674,0.10042,0.04064,0.08911,0.04473,0.09829,0.06763,0.06206,0.09722,0.09097,0.08628,0.08571,0.08789,0.13008,0.08339
