Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.0144,1.27952,0.5692,0.38809,0.68874,1.16022,0.97411,0.90629,0.60589,0.36303,0.48878,0.71286,0.67366,0.38521,0.16372,0.13757
5 to 9,1.51247,9.61896,2.93966,0.80464,0.49767,0.57575,1.1636,1.30906,0.97561,0.67219,0.566,0.79172,0.64413,0.55217,0.43356,0.18342
10 to 14,0.84126,1.8206,9.96501,3.34701,0.58438,0.29069,0.84235,1.10509,1.07004,0.7381,0.71865,0.50183,0.39044,0.42371,0.32908,0.24119
15 to 19,0.51737,0.56356,1.17915,7.98313,3.03407,0.86106,0.38765,0.65839,0.83545,0.94719,0.76667,0.59954,0.3972,0.23214,0.26867,0.19005
20 to 24,0.82839,0.33773,0.5289,1.85756,4.90832,2.41323,1.05895,0.69135,0.83653,0.79036,0.82384,0.62092,0.4302,0.26567,0.08005,0.06674
25 to 29,1.18759,0.81871,0.47419,0.92295,2.51451,3.41094,1.79751,1.26141,1.05835,0.85812,1.06479,0.94359,0.64885,0.41253,0.16143,0.06413
30 to 34,1.32689,1.09587,0.70356,0.65512,1.5821,2.16019,2.33562,1.60393,1.40373,1.0112,0.99389,1.04979,0.73774,0.52215,0.15082,0.1023
35 to 39,1.1446,1.1177,0.93736,0.94879,1.29051,1.62322,1.85839,2.19856,1.61135,1.21062,0.98397,0.84568,0.80618,0.42912,0.26369,0.1535
40 to 44,0.78381,0.97286,1.05952,1.1047,1.16818,1.3239,1.40662,1.84801,1.97362,1.29059,1.3198,0.95677,0.72869,0.46455,0.26883,0.14515
45 to 49,0.53199,0.49155,0.66579,1.00584,1.33492,1.15278,1.09749,1.20715,1.43193,1.35839,1.37543,0.81999,0.63727,0.30048,0.20054,0.14499
50 to 54,0.63805,0.37475,0.42325,0.55343,0.92679,1.09871,0.91865,0.90171,1.02247,0.97162,1.16752,0.96178,0.5965,0.35509,0.16456,0.14084
55 to 59,0.58141,0.40233,0.26698,0.27138,0.58861,0.627,0.70272,0.5511,0.42415,0.49325,0.75578,0.79572,0.63252,0.32133,0.12621,0.08527
60 to 64,0.42671,0.38944,0.20886,0.19231,0.28045,0.32655,0.39137,0.41595,0.33491,0.25164,0.3296,0.45862,0.42313,0.29473,0.21178,0.06508
65 to 69,0.33402,0.26656,0.20891,0.14934,0.14819,0.15949,0.19706,0.25189,0.19119,0.13604,0.12866,0.18938,0.25735,0.22817,0.18555,0.09633
70 to 74,0.2229,0.14046,0.1616,0.09022,0.14734,0.07292,0.09195,0.13978,0.11346,0.09634,0.08077,0.08201,0.13882,0.11958,0.17949,0.08413
75+,0.11333,0.10392,0.13131,0.06052,0.1197,0.04371,0.08041,0.05576,0.05366,0.08483,0.06592,0.0564,0.0561,0.05478,0.09215,0.05604
