Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.55113,1.61286,0.84329,0.5252,0.79989,1.19038,0.94977,0.8922,0.6198,0.38945,0.51107,0.76163,0.73171,0.48183,0.20276,0.18101
5 to 9,2.00333,6.10485,2.67851,0.99498,0.58547,0.58426,1.0499,1.18325,0.9224,0.68401,0.50732,0.79959,0.72266,0.70642,0.55467,0.23796
10 to 14,1.15473,2.14765,6.65396,2.7851,0.60285,0.28476,0.69117,0.86062,0.84509,0.64966,0.58666,0.43921,0.40691,0.51154,0.37408,0.28792
15 to 19,0.69795,0.74893,1.34175,7.07428,2.98384,0.91005,0.40751,0.67554,0.69661,0.84924,0.69694,0.58524,0.38897,0.30537,0.28472,0.2119
20 to 24,1.07626,0.45692,0.66346,2.14699,4.69802,2.27896,1.04988,0.69409,0.8134,0.72344,0.74427,0.59605,0.48133,0.33371,0.07449,0.06727
25 to 29,1.58598,1.07294,0.61319,1.13943,2.60509,3.37765,1.87327,1.38768,1.22928,0.99884,1.17691,1.01982,0.81623,0.64605,0.14985,0.0632
30 to 34,1.78288,1.37419,0.84041,0.83259,1.69531,2.25193,2.37648,1.66975,1.59169,1.23736,1.23034,1.24262,0.9257,0.72303,0.1283,0.09231
35 to 39,1.56802,1.4481,1.09926,1.11291,1.41559,1.79631,1.98728,2.23663,1.7569,1.44272,1.24611,1.08534,1.06326,0.48983,0.22377,0.13556
40 to 44,1.07693,1.25603,1.23476,1.23633,1.22206,1.49839,1.5888,2.00557,2.09201,1.48314,1.66026,1.28009,1.04291,0.65592,0.22287,0.12661
45 to 49,0.74287,0.64445,0.79617,1.12325,1.33966,1.25651,1.29033,1.38923,1.65304,1.53017,1.71674,1.11031,0.997,0.5017,0.18279,0.13279
50 to 54,0.89476,0.50271,0.51795,0.64092,0.95954,1.17112,1.00834,1.07886,1.25132,1.12525,1.43025,1.20955,0.90478,0.62515,0.17612,0.14693
55 to 59,0.81795,0.55265,0.33376,0.33046,0.62085,0.68373,0.76805,0.6238,0.54547,0.65231,0.94813,0.94837,0.89561,0.49286,0.12757,0.09099
60 to 64,0.60486,0.53873,0.26598,0.23762,0.33462,0.39838,0.43278,0.39791,0.39671,0.31657,0.41274,0.53179,0.46343,0.41134,0.19112,0.05979
65 to 69,0.48016,0.37119,0.26755,0.18407,0.16882,0.19136,0.21608,0.22806,0.19645,0.16939,0.1452,0.19932,0.26491,0.20794,0.15181,0.08738
70 to 74,0.32151,0.19328,0.20234,0.09825,0.14148,0.06126,0.06967,0.09692,0.07881,0.06872,0.06168,0.05975,0.1037,0.09479,0.13385,0.06513
75+,0.16229,0.1432,0.16568,0.06499,0.1147,0.03636,0.06199,0.03874,0.03733,0.05926,0.0485,0.043,0.04176,0.0447,0.07322,0.0401
