Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.40829,1.4824,0.74445,0.46241,0.76125,1.33133,1.15163,1.11191,0.75501,0.4315,0.5703,0.83894,0.81104,0.51527,0.22753,0.16523
5 to 9,1.90566,6.97486,2.7741,0.88523,0.55418,0.65003,1.31012,1.48546,1.11321,0.77024,0.63409,0.91773,0.80715,0.73325,0.58702,0.21323
10 to 14,1.07548,1.99362,8.54422,3.04314,0.56881,0.31225,0.85064,1.07152,1.01153,0.70663,0.72846,0.52222,0.43812,0.52491,0.37782,0.26309
15 to 19,0.65058,0.6668,1.21713,7.32853,2.64168,0.74479,0.35032,0.52492,0.66518,0.74087,0.64447,0.5187,0.39639,0.23372,0.28788,0.1884
20 to 24,1.00747,0.40917,0.58527,1.56792,3.8694,1.82914,0.78202,0.43814,0.50882,0.49113,0.55185,0.42079,0.30764,0.22591,0.08145,0.0584
25 to 29,1.49104,0.96132,0.54317,0.80195,1.89116,2.50904,1.4678,0.91875,0.74125,0.57391,0.74819,0.69048,0.49215,0.32769,0.16276,0.05829
30 to 34,1.64963,1.21994,0.74125,0.55092,1.15207,1.70818,1.99198,1.3968,1.255,0.85388,0.88596,0.88969,0.6645,0.47091,0.13754,0.08551
35 to 39,1.45217,1.27808,0.96452,0.80576,0.84324,1.21763,1.66381,1.85155,1.44589,1.05979,0.90731,0.77033,0.7509,0.41135,0.23831,0.13204
40 to 44,1.01167,1.11721,1.08026,0.88744,0.79375,0.97879,1.29879,1.66701,1.78485,1.15804,1.2848,0.93004,0.74174,0.44717,0.23636,0.13002
45 to 49,0.70481,0.58597,0.70701,0.8281,0.95509,0.88072,0.99863,1.09419,1.33151,1.16848,1.30394,0.80285,0.64779,0.29125,0.2037,0.11829
50 to 54,0.84937,0.46389,0.46766,0.46339,0.64792,0.84371,0.87149,0.85553,1.00991,0.89356,1.11453,0.93799,0.64006,0.38445,0.17902,0.13269
55 to 59,0.77519,0.49849,0.29964,0.23413,0.44006,0.4887,0.65518,0.52229,0.42199,0.47265,0.7399,0.69923,0.62423,0.31687,0.1333,0.07827
60 to 64,0.56546,0.47881,0.23315,0.17421,0.2026,0.25154,0.36459,0.38291,0.32993,0.23359,0.31987,0.40483,0.35444,0.26514,0.19634,0.05266
65 to 69,0.45348,0.33272,0.23759,0.13837,0.1241,0.13467,0.18551,0.23109,0.17533,0.1182,0.11817,0.16269,0.21984,0.17694,0.15691,0.08024
70 to 74,0.30316,0.17296,0.17822,0.0857,0.13405,0.06718,0.08744,0.12567,0.09862,0.07757,0.06953,0.06649,0.11947,0.10121,0.13493,0.0626
75+,0.15269,0.12769,0.14622,0.05663,0.10779,0.04018,0.07716,0.05032,0.04748,0.06506,0.05479,0.04626,0.04674,0.04698,0.07545,0.03887
