Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.50329,0.74723,0.27395,0.19185,0.39105,0.87308,0.81834,0.68698,0.40292,0.24819,0.47649,0.77081,1.02547,0.78025,0.37726,0.36327
5 to 9,0.90601,7.14213,2.03674,0.44535,0.29644,0.39648,0.98796,1.02718,0.66276,0.45724,0.49901,0.80412,0.91513,1.10253,1.01174,0.46481
10 to 14,0.50686,1.18359,9.49361,3.13616,0.37755,0.21738,0.7403,0.92328,0.84366,0.54803,0.65415,0.50834,0.55476,0.83547,0.81908,0.6218
15 to 19,0.31561,0.33882,0.82225,8.99795,2.60313,0.66472,0.32985,0.49707,0.73962,0.85294,0.78863,0.62892,0.56181,0.45018,0.66973,0.49111
20 to 24,0.55525,0.21272,0.31495,1.17457,4.32164,2.23654,1.03947,0.65304,0.79172,0.80798,1.0767,0.76227,0.60635,0.46493,0.25342,0.20681
25 to 29,0.97314,0.54646,0.27981,0.54403,2.00906,4.10626,2.04423,1.41778,1.18804,0.98789,1.50442,1.39189,1.02819,0.66629,0.53038,0.21932
30 to 34,1.06001,0.93329,0.48653,0.39198,1.24976,2.2738,3.26353,1.833,1.59444,1.16963,1.3244,1.61019,1.26139,0.96652,0.45513,0.34843
35 to 39,0.86269,0.88183,0.70378,0.64425,1.03875,1.70571,2.15416,2.89619,1.77959,1.34514,1.23798,1.17599,1.27027,1.06652,0.89438,0.45171
40 to 44,0.50145,0.63407,0.72521,0.85563,0.99621,1.40249,1.61723,2.06962,2.45119,1.42974,1.64042,1.27721,1.05227,0.89609,0.93388,0.45343
45 to 49,0.34466,0.31207,0.42679,0.76692,1.21384,1.24331,1.24557,1.33715,1.56039,1.79863,1.73758,1.0517,0.84068,0.51239,0.70687,0.52219
50 to 54,0.44723,0.23123,0.24395,0.36859,0.83997,1.25694,1.05867,1.01788,1.142,1.0823,1.9082,1.33554,0.83833,0.56232,0.49805,0.49783
55 to 59,0.38614,0.26871,0.1528,0.16675,0.46183,0.67932,0.83069,0.61545,0.47623,0.54465,0.97704,1.65226,1.0356,0.64495,0.40503,0.31269
60 to 64,0.29174,0.24423,0.11913,0.11214,0.19493,0.30603,0.41656,0.41695,0.3169,0.24004,0.39269,0.65245,1.19308,0.72031,0.70429,0.24507
65 to 69,0.20237,0.16242,0.11847,0.08726,0.08809,0.11525,0.16661,0.23221,0.15566,0.10832,0.14831,0.25827,0.52377,1.00714,0.64473,0.34729
70 to 74,0.13649,0.0867,0.0971,0.05507,0.10609,0.06692,0.0919,0.14344,0.11423,0.10316,0.11209,0.13588,0.31691,0.34853,0.90521,0.31105
75+,0.08054,0.07252,0.08181,0.04463,0.09553,0.05227,0.08651,0.05724,0.05526,0.10408,0.11982,0.11027,0.13529,0.17802,0.29613,0.30234
