Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.83347,1.83108,0.83613,0.46888,0.7594,1.39205,1.25649,1.07597,0.66003,0.33689,0.81278,1.18208,1.22364,0.96537,0.34193,0.55407
5 to 9,2.30786,6.98076,2.80816,0.97737,0.56773,0.64627,1.45212,1.69183,1.23875,0.66838,0.64114,0.89359,0.89678,1.16173,0.8131,0.67454
10 to 14,1.224,2.22653,6.28983,2.74033,0.65627,0.32659,0.89875,1.27659,1.32855,0.79118,0.83545,0.49356,0.45521,0.7246,0.54997,0.86597
15 to 19,0.8047,0.93009,1.57111,6.39244,3.04715,1.05626,0.46475,0.82124,1.04965,1.14979,1.1942,0.8443,0.57152,0.44041,0.49228,0.80844
20 to 24,1.21407,0.50565,0.7159,1.95831,4.34279,2.5508,1.13007,0.64895,0.80841,0.81881,1.26719,0.91341,0.60697,0.52414,0.15802,0.27872
25 to 29,1.75006,1.16015,0.61551,1.019,2.51243,3.13469,1.91869,1.15311,0.91776,0.74677,1.36086,1.37394,0.95413,0.70082,0.38934,0.2293
30 to 34,1.7358,1.36916,0.79664,0.65227,1.40629,2.02531,2.07129,1.47361,1.21725,0.81387,0.97014,1.23711,0.99656,0.89956,0.28547,0.30856
35 to 39,1.45934,1.40238,1.06328,0.93641,1.0823,1.43299,1.74878,1.86562,1.41716,0.99019,0.8693,0.83447,0.91012,0.85192,0.55612,0.63156
40 to 44,0.94532,1.10911,1.08179,0.97258,0.95839,1.11639,1.22779,1.54758,1.52675,1.01912,1.10533,0.81782,0.6695,0.61221,0.43247,0.46052
45 to 49,0.66288,0.56509,0.69273,0.88681,1.06802,0.98526,0.95106,1.00147,1.1679,1.02775,1.1548,0.71007,0.52364,0.31032,0.29093,0.43379
50 to 54,0.89026,0.4791,0.47977,0.58427,0.86284,1.08664,0.88096,0.79326,0.86823,0.80818,1.02679,0.93966,0.552,0.34664,0.20787,0.46689
55 to 59,0.86092,0.54041,0.30538,0.2947,0.57927,0.65115,0.74007,0.53338,0.37235,0.42342,0.75754,0.70421,0.62858,0.32783,0.14915,0.14902
60 to 64,0.60534,0.50416,0.23415,0.19508,0.25753,0.33196,0.42501,0.41614,0.31104,0.19565,0.28957,0.42123,0.3442,0.3212,0.24833,0.09886
65 to 69,0.48473,0.36435,0.24939,0.15177,0.14047,0.16789,0.20882,0.2723,0.20679,0.11928,0.11339,0.1668,0.26859,0.2054,0.2181,0.13605
70 to 74,0.30286,0.17986,0.18277,0.08705,0.13393,0.07197,0.09918,0.14507,0.11477,0.08504,0.0728,0.0696,0.13205,0.12685,0.17576,0.14201
75+,0.15136,0.12893,0.14379,0.05664,0.10655,0.0422,0.08087,0.0545,0.05274,0.07581,0.06647,0.04507,0.05165,0.04936,0.10298,0.05854
