Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.9899,1.25041,0.60027,0.38908,0.71664,1.09819,0.87683,0.8007,0.53219,0.29392,0.43481,0.67004,0.76009,0.53618,0.26074,0.20936
5 to 9,1.51943,7.31784,2.79175,0.80485,0.51739,0.54796,1.05772,1.16666,0.86323,0.5416,0.47617,0.7144,0.71366,0.76132,0.69125,0.27526
10 to 14,0.86392,1.78986,9.92348,3.52893,0.60454,0.27327,0.77472,0.99329,0.9544,0.60133,0.62579,0.46156,0.43329,0.58675,0.52138,0.36633
15 to 19,0.53284,0.57287,1.24878,8.95479,3.35532,0.89692,0.40099,0.6936,0.82096,0.88382,0.75715,0.62682,0.45979,0.32854,0.42309,0.28166
20 to 24,0.85583,0.34829,0.55865,1.98138,5.20184,2.43532,1.08272,0.72524,0.87646,0.76253,0.82439,0.66557,0.54378,0.36686,0.12931,0.10089
25 to 29,1.22619,0.84018,0.49792,0.99665,2.70646,3.52592,1.86781,1.35777,1.17296,0.92926,1.16052,1.06233,0.85213,0.57406,0.25903,0.09666
30 to 34,1.36029,1.11972,0.74623,0.72863,1.73415,2.27786,2.44558,1.69962,1.54016,1.13402,1.14159,1.24075,0.97602,0.7366,0.24742,0.15792
35 to 39,1.16655,1.13531,0.98885,1.02062,1.43048,1.75005,1.9663,2.30965,1.73269,1.31602,1.12711,1.0201,1.06809,0.61158,0.43515,0.23285
40 to 44,0.79454,0.97965,1.10609,1.18117,1.28326,1.44934,1.5263,1.98814,2.1171,1.39477,1.51343,1.18132,0.98945,0.65728,0.44259,0.22437
45 to 49,0.54328,0.49539,0.69685,1.0654,1.44779,1.24518,1.22115,1.33434,1.59446,1.46899,1.58714,1.01328,0.89573,0.42084,0.32756,0.22704
50 to 54,0.6531,0.37543,0.43889,0.58696,1.00847,1.17236,0.97902,1.00379,1.15392,1.04137,1.33201,1.15021,0.81847,0.49855,0.26455,0.22386
55 to 59,0.59443,0.40587,0.27804,0.29531,0.6491,0.68373,0.76096,0.61066,0.50315,0.57829,0.88167,0.97001,0.88718,0.46646,0.20131,0.13123
60 to 64,0.43532,0.39275,0.21773,0.20509,0.32929,0.37739,0.42554,0.42551,0.37835,0.28105,0.38187,0.54525,0.55787,0.43771,0.34617,0.10133
65 to 69,0.34114,0.27008,0.21888,0.15397,0.15911,0.16498,0.19441,0.2394,0.18738,0.13252,0.12953,0.19765,0.31429,0.32571,0.30477,0.15032
70 to 74,0.22782,0.14248,0.16895,0.08944,0.15271,0.06922,0.08266,0.12598,0.1023,0.07986,0.07418,0.08004,0.16206,0.17105,0.294,0.13286
75+,0.11561,0.105,0.13739,0.05982,0.12381,0.04108,0.07204,0.05003,0.0482,0.06989,0.06062,0.05443,0.06545,0.07881,0.14849,0.08872
