Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.81239,1.83079,0.92247,0.57138,0.94586,1.52576,1.23793,1.34292,0.8267,0.49293,0.53201,0.95873,0.6876,0.58839,0.15098,0.4452
5 to 9,2.47949,6.76288,3.08344,1.12635,0.72531,0.84574,1.50223,1.98035,1.34814,1.03135,0.67672,1.35213,0.93321,1.24264,0.59208,0.68746
10 to 14,1.28215,2.34318,6.98824,2.813,0.57445,0.355,0.869,1.26072,1.03007,0.85294,0.69865,0.65785,0.51451,0.91511,0.32186,0.77953
15 to 19,0.71326,0.7297,1.23485,6.71068,2.80711,0.89102,0.43628,0.76231,0.67395,0.84113,0.65057,0.64855,0.39693,0.38276,0.1971,0.51496
20 to 24,1.0655,0.45259,0.59917,1.95329,4.26217,2.14312,1.02987,0.67696,0.74071,0.60758,0.58925,0.51954,0.41542,0.3182,0.04931,0.10192
25 to 29,1.62797,1.08431,0.60761,1.05457,2.38847,3.03027,1.75249,1.32716,1.13413,0.90925,1.01393,0.89846,0.71285,0.63151,0.10437,0.10062
30 to 34,1.77994,1.25782,0.77671,0.7929,1.60964,2.09915,2.14029,1.57514,1.50703,1.15916,1.13718,1.15397,0.81887,0.69207,0.07233,0.12514
35 to 39,1.6065,1.38127,1.00531,1.04355,1.35014,1.72177,1.89483,2.0359,1.64083,1.38368,1.20835,1.09556,1.05681,0.51828,0.1368,0.19276
40 to 44,1.11081,1.16333,1.07039,1.06448,1.11615,1.41446,1.5358,1.89589,1.8928,1.37239,1.60018,1.28855,1.04745,0.69847,0.13728,0.14617
45 to 49,0.79816,0.63207,0.73097,0.97829,1.18089,1.19495,1.26342,1.3599,1.56754,1.38833,1.64648,1.16293,1.05806,0.61533,0.15379,0.24073
50 to 54,0.93143,0.48571,0.47593,0.53498,0.83186,1.06589,0.98488,1.06985,1.22358,1.05377,1.36232,1.1934,0.96413,0.75582,0.17633,0.35434
55 to 59,0.8566,0.54718,0.31947,0.29477,0.55202,0.62585,0.74775,0.62856,0.54833,0.65474,0.91912,0.90448,0.90888,0.57339,0.12599,0.22551
60 to 64,0.62561,0.51685,0.24748,0.21136,0.31075,0.36436,0.40669,0.38984,0.38935,0.3171,0.4117,0.50851,0.4264,0.44305,0.13739,0.07411
65 to 69,0.51964,0.37111,0.25714,0.17124,0.16173,0.18537,0.21859,0.22611,0.1905,0.1793,0.14766,0.20695,0.2538,0.17817,0.11046,0.13046
70 to 74,0.3549,0.18797,0.1836,0.08393,0.13187,0.06043,0.06467,0.08722,0.06549,0.05419,0.05109,0.05143,0.07968,0.07252,0.09516,0.05592
75+,0.17651,0.14207,0.15919,0.0581,0.10787,0.0338,0.06196,0.03596,0.0303,0.04595,0.04045,0.04257,0.0344,0.04118,0.04717,0.03334
