Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.07183,1.21856,0.5314,0.30387,0.60761,1.24496,1.13494,1.00134,0.63627,0.34286,0.46421,0.79456,0.83035,0.51023,0.14835,0.11679
5 to 9,1.5205,6.3313,2.63452,0.64159,0.43408,0.5873,1.28811,1.4213,1.02783,0.6245,0.51641,0.82342,0.749,0.69313,0.3776,0.15198
10 to 14,0.86778,1.82444,12.26624,3.80893,0.51667,0.29794,0.9045,1.17343,1.13875,0.70127,0.71287,0.54785,0.43782,0.51006,0.27282,0.19738
15 to 19,0.53385,0.58367,1.22055,10.04091,2.80039,0.9218,0.43554,0.70187,0.9123,0.97347,0.8034,0.66959,0.45217,0.26332,0.22085,0.15163
20 to 24,0.87669,0.34738,0.50147,1.51638,4.53305,2.60895,1.19328,0.75892,0.908,0.82872,0.83135,0.67477,0.45223,0.2807,0.06772,0.05573
25 to 29,1.32436,0.8554,0.44547,0.76612,2.3766,3.86821,2.10329,1.45538,1.22256,0.97709,1.16198,1.07354,0.70161,0.38872,0.1449,0.05432
30 to 34,1.49793,1.18782,0.6611,0.55272,1.50789,2.41791,2.81818,1.8599,1.62631,1.18083,1.12141,1.20173,0.79727,0.54262,0.13394,0.08594
35 to 39,1.28241,1.22069,0.91181,0.79043,1.26043,1.82918,2.19558,2.61061,1.86379,1.39837,1.12094,0.96383,0.83578,0.48866,0.22956,0.12945
40 to 44,0.85366,1.05031,1.05302,0.94829,1.14215,1.51182,1.67391,2.17685,2.34425,1.50553,1.51848,1.10316,0.7306,0.45742,0.22509,0.12291
45 to 49,0.57176,0.51635,0.64876,0.86793,1.32101,1.32338,1.33375,1.45294,1.72709,1.63295,1.60452,0.95638,0.63937,0.26269,0.16571,0.11677
50 to 54,0.69894,0.39239,0.40676,0.4814,0.92087,1.26106,1.08583,1.06473,1.20521,1.10966,1.34197,1.09218,0.60059,0.3063,0.13747,0.11309
55 to 59,0.63841,0.42348,0.25286,0.22975,0.56071,0.70227,0.81566,0.62611,0.48246,0.55353,0.80455,0.90162,0.64624,0.31059,0.10396,0.06644
60 to 64,0.46805,0.40867,0.19477,0.15135,0.24282,0.32977,0.4183,0.43669,0.32943,0.2366,0.30039,0.45949,0.46095,0.29468,0.17423,0.05004
65 to 69,0.36401,0.28141,0.19575,0.1136,0.12167,0.15013,0.19999,0.25783,0.18195,0.11234,0.1078,0.18649,0.27236,0.27476,0.15206,0.07444
70 to 74,0.24186,0.14833,0.15185,0.07001,0.13003,0.0783,0.10523,0.15375,0.11841,0.09149,0.07472,0.0877,0.16062,0.14216,0.15362,0.06503
75+,0.12394,0.11026,0.12423,0.04739,0.10621,0.04752,0.09213,0.06147,0.05725,0.08107,0.06129,0.06028,0.06478,0.06509,0.07584,0.04514
