Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.47283,1.44403,0.66087,0.37937,0.60149,1.01765,0.80923,0.76399,0.58698,0.37346,0.56101,0.82852,0.8457,0.52416,0.23159,0.194
5 to 9,1.88013,9.96875,3.34612,0.79376,0.43956,0.4896,0.94464,1.09552,0.95844,0.6994,0.6012,0.86557,0.77883,0.71747,0.58977,0.25241
10 to 14,1.0692,2.1405,12.36014,3.63595,0.51472,0.25136,0.65447,0.88117,1.00725,0.76286,0.77511,0.546,0.4643,0.54401,0.42422,0.32546
15 to 19,0.65076,0.67217,1.36898,8.57815,2.54648,0.6819,0.2825,0.45198,0.70418,0.864,0.76276,0.60013,0.44677,0.27467,0.34858,0.24927
20 to 24,1.02859,0.39162,0.59935,1.63601,4.0841,1.87841,0.74232,0.45575,0.57789,0.63827,0.74682,0.55783,0.39154,0.27594,0.10367,0.08611
25 to 29,1.53318,0.94649,0.53811,0.80849,1.9958,2.63149,1.25916,0.81996,0.68052,0.60298,0.83155,0.80633,0.56223,0.35123,0.21529,0.08287
30 to 34,1.74646,1.29901,0.78546,0.55597,1.21473,1.6246,1.65678,1.08088,0.94585,0.68672,0.69598,0.82375,0.63908,0.49453,0.19179,0.12995
35 to 39,1.50789,1.34125,1.06087,0.82887,0.92587,1.14072,1.25318,1.45626,1.06552,0.81855,0.6367,0.58771,0.64029,0.45157,0.32623,0.19064
40 to 44,1.01582,1.16974,1.21659,0.97672,0.85062,0.87945,0.89592,1.13754,1.28138,0.854,0.8089,0.59242,0.51884,0.41319,0.32696,0.18668
45 to 49,0.68382,0.58445,0.76388,0.90363,1.03924,0.81146,0.69513,0.73776,0.89368,0.94848,0.89557,0.54629,0.42737,0.23088,0.24643,0.18356
50 to 54,0.8248,0.43842,0.47817,0.4909,0.69832,0.7711,0.5933,0.52097,0.58714,0.65566,0.76767,0.67484,0.42423,0.2706,0.20841,0.18062
55 to 59,0.75341,0.47569,0.3017,0.23752,0.45126,0.44554,0.46402,0.34352,0.24759,0.3117,0.53367,0.60893,0.48846,0.28646,0.15665,0.10785
60 to 64,0.5569,0.46101,0.23668,0.17415,0.20574,0.2299,0.26915,0.29122,0.23423,0.1872,0.26434,0.38809,0.4137,0.27929,0.26309,0.08073
65 to 69,0.43553,0.3175,0.23877,0.13742,0.1169,0.11727,0.13595,0.18065,0.14962,0.10541,0.11813,0.18277,0.26244,0.26401,0.2304,0.11953
70 to 74,0.28894,0.16575,0.18217,0.08526,0.12625,0.06155,0.07122,0.1072,0.09789,0.0915,0.08654,0.08682,0.15557,0.13912,0.22443,0.10222
75+,0.14782,0.12333,0.14907,0.05711,0.10253,0.03753,0.06223,0.04273,0.04689,0.08082,0.07054,0.05992,0.06253,0.06329,0.11018,0.06876
