Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.58072,1.66462,0.8578,0.51339,0.74403,1.46407,1.21828,1.10294,0.73234,0.37672,0.54524,0.75097,0.8576,0.56311,0.28578,0.18464
5 to 9,2.09786,7.36785,3.02741,0.97161,0.55978,0.72481,1.37283,1.47929,1.07923,0.66266,0.57045,0.81113,0.77782,0.75957,0.70281,0.22828
10 to 14,1.25422,2.34823,9.11711,3.09242,0.59105,0.37345,0.93953,1.13562,1.03266,0.64638,0.67925,0.47413,0.44512,0.53817,0.46605,0.28667
15 to 19,0.76506,0.83712,1.44271,7.10796,2.60957,0.90431,0.40137,0.60586,0.73272,0.71796,0.63755,0.5097,0.41755,0.27236,0.37703,0.22321
20 to 24,1.1636,0.49206,0.67975,1.73785,3.8219,2.08865,0.83391,0.45658,0.50723,0.46932,0.52734,0.39607,0.30903,0.24264,0.09955,0.06926
25 to 29,1.67014,1.1388,0.61387,0.88898,1.90149,2.74694,1.40575,0.82552,0.60603,0.45556,0.58891,0.57775,0.43112,0.30782,0.20574,0.06239
30 to 34,1.85037,1.47084,0.85744,0.60965,1.13172,1.74744,1.69549,1.09265,0.84504,0.52058,0.51501,0.60802,0.49631,0.43202,0.17707,0.09786
35 to 39,1.59508,1.505,1.11038,0.8835,0.82385,1.19153,1.33933,1.38906,0.9362,0.62978,0.46616,0.44112,0.51128,0.39577,0.29663,0.14701
40 to 44,1.0972,1.30486,1.24142,0.99018,0.76918,0.90145,0.94157,1.11095,1.07012,0.63364,0.58443,0.44393,0.40147,0.36367,0.29016,0.13924
45 to 49,0.74832,0.66305,0.7896,0.89912,0.93011,0.84468,0.71249,0.7159,0.76553,0.65359,0.61721,0.39875,0.32562,0.19081,0.20893,0.12599
50 to 54,0.92283,0.53106,0.52354,0.52437,0.63988,0.83033,0.66261,0.52324,0.51578,0.48181,0.49569,0.47345,0.33142,0.235,0.19755,0.13897
55 to 59,0.84305,0.57427,0.33182,0.25842,0.43022,0.4885,0.53274,0.37191,0.22722,0.24234,0.37391,0.38307,0.35122,0.22913,0.13288,0.07573
60 to 64,0.6206,0.55505,0.2628,0.19224,0.1954,0.25145,0.31331,0.33465,0.22404,0.14278,0.18024,0.25143,0.24983,0.19791,0.20748,0.05337
65 to 69,0.48897,0.38299,0.26496,0.151,0.11875,0.14185,0.17017,0.21487,0.15309,0.08205,0.0799,0.12228,0.17436,0.15783,0.16703,0.07612
70 to 74,0.3231,0.19916,0.20007,0.09204,0.12741,0.07272,0.08999,0.12399,0.09308,0.06489,0.05671,0.05346,0.10219,0.09188,0.1514,0.06043
75+,0.16316,0.14552,0.16143,0.06029,0.10254,0.04391,0.07712,0.04888,0.04447,0.05697,0.04561,0.03795,0.04056,0.04244,0.08158,0.038
