Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.67513,1.14212,0.80208,0.56068,0.83342,1.55705,1.24722,1.29563,0.76766,0.49328,1.08037,1.5672,1.40841,1.14446,0.37518,0.70666
5 to 9,1.6883,1.04557,1.59803,0.94123,0.53804,0.78654,1.63782,2.06903,1.38455,0.87624,0.75417,1.27129,1.12829,1.40922,0.84776,0.89543
10 to 14,0.95152,1.25141,1.13816,1.25711,0.45282,0.28226,0.81604,1.50416,1.22778,0.88662,0.86145,0.60667,0.54323,0.84398,0.50033,0.91864
15 to 19,0.63259,0.78933,1.09423,1.28468,1.17409,0.53278,0.23676,0.8412,1.08544,1.18453,1.11357,0.92224,0.63056,0.59801,0.53806,0.9932
20 to 24,0.8094,0.31258,0.33703,0.68603,0.76118,0.79071,0.28351,0.18378,0.35493,0.67988,0.93373,0.7218,0.41918,0.46659,0.12974,0.2983
25 to 29,0.90867,0.73926,0.25985,0.30764,0.66178,0.61777,0.56277,0.19036,0.12373,0.27385,0.6704,0.85222,0.47928,0.46161,0.25757,0.23555
30 to 34,0.52651,0.60256,0.30279,0.11737,0.13535,0.32106,0.25919,0.30929,0.13822,0.06806,0.27418,0.49434,0.42706,0.56888,0.14694,0.22156
35 to 39,0.45679,0.55715,0.46673,0.37209,0.0859,0.10697,0.32722,0.31956,0.27072,0.12418,0.12351,0.24182,0.3942,0.6414,0.31531,0.48095
40 to 44,0.22059,0.3318,0.30097,0.32745,0.16002,0.04412,0.09155,0.20419,0.14178,0.15671,0.10677,0.07219,0.13927,0.29818,0.19336,0.35943
45 to 49,0.17102,0.22414,0.22249,0.3299,0.28616,0.14885,0.05395,0.07078,0.17739,0.15919,0.1912,0.17001,0.06851,0.13934,0.17623,0.27492
50 to 54,0.18896,0.14181,0.11528,0.22466,0.19463,0.22444,0.10418,0.06724,0.05613,0.13303,0.13298,0.23931,0.11185,0.10315,0.09925,0.2569
55 to 59,0.21147,0.17967,0.07455,0.11489,0.14222,0.1507,0.12245,0.08615,0.02132,0.0465,0.1907,0.09344,0.15344,0.14722,0.05914,0.11086
60 to 64,0.1026,0.10291,0.04491,0.06067,0.04412,0.0703,0.08974,0.09754,0.05121,0.02105,0.04143,0.10891,0.03984,0.12667,0.07369,0.05025
65 to 69,0.05334,0.05265,0.0406,0.03635,0.01787,0.03029,0.02839,0.05734,0.0409,0.01861,0.01461,0.04836,0.07701,0.05243,0.05111,0.10987
70 to 74,0.01319,0.01559,0.01684,0.01233,0.00876,0.00409,0.01011,0.01696,0.01174,0.01011,0.01068,0.00747,0.0144,0.03518,0.01848,0.06636
75+,0.00848,0.00888,0.00652,0.00617,0.0056,0.00567,0.00433,0.00517,0.00752,0.00871,0.01147,0.00809,0.00269,0.00993,0.03344,0.01923
