Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.23395,0.37602,0.23824,0.14416,0.289,0.49975,0.41148,0.35195,0.19946,0.15023,0.16383,0.2552,0.22347,0.1679,0.06007,0.10045
5 to 9,0.51164,0.3557,0.54145,0.17653,0.12357,0.2321,0.53425,0.52244,0.28464,0.21007,0.12789,0.22597,0.27901,0.20253,0.18782,0.1423
10 to 14,0.37098,0.60461,0.65545,0.43216,0.10833,0.09521,0.49945,0.64451,0.43138,0.31733,0.21048,0.17194,0.25064,0.26166,0.2675,0.25173
15 to 19,0.24366,0.24093,0.42932,0.49956,0.3849,0.15512,0.11289,0.33465,0.4442,0.43656,0.20183,0.23516,0.19855,0.16736,0.19591,0.31547
20 to 24,0.49882,0.13861,0.10918,0.26682,0.36311,0.34401,0.13908,0.08137,0.1712,0.35364,0.23887,0.20287,0.08816,0.09086,0.04526,0.07621
25 to 29,0.47665,0.38733,0.10914,0.09772,0.26476,0.24466,0.25324,0.08118,0.04239,0.12711,0.14741,0.23462,0.11529,0.05593,0.06454,0.03821
30 to 34,0.39978,0.49144,0.32495,0.08598,0.08598,0.20345,0.15938,0.1668,0.10478,0.06316,0.1162,0.23934,0.21476,0.18357,0.07228,0.10183
35 to 39,0.28228,0.34769,0.34662,0.22479,0.04868,0.06349,0.17443,0.18627,0.12788,0.107,0.04741,0.08404,0.2047,0.22003,0.21239,0.15854
40 to 44,0.17033,0.22022,0.23941,0.26583,0.12906,0.02748,0.08961,0.12599,0.12562,0.12322,0.07858,0.07107,0.10332,0.21859,0.24444,0.19646
45 to 49,0.12814,0.14362,0.14926,0.19967,0.20604,0.10401,0.05351,0.06595,0.11547,0.15074,0.12983,0.11476,0.05509,0.06682,0.1667,0.21151
50 to 54,0.10188,0.09288,0.07629,0.09664,0.09961,0.10736,0.06821,0.04034,0.04943,0.13054,0.0958,0.12977,0.10415,0.07585,0.0863,0.15764
55 to 59,0.10142,0.10219,0.04742,0.0576,0.06625,0.07477,0.07588,0.03876,0.0208,0.03758,0.08567,0.11983,0.12726,0.07801,0.02837,0.0729
60 to 64,0.06054,0.10281,0.0587,0.04743,0.01942,0.03848,0.07292,0.0828,0.04754,0.02559,0.04035,0.11404,0.06575,0.09171,0.07535,0.04977
65 to 69,0.03478,0.03654,0.04263,0.03019,0.0087,0.00998,0.01769,0.03843,0.04484,0.01612,0.01343,0.03867,0.06664,0.06162,0.11047,0.09544
70 to 74,0.01234,0.02192,0.04005,0.0175,0.01004,0.00366,0.01262,0.02932,0.02917,0.02269,0.01526,0.00711,0.02312,0.09993,0.065,0.07058
75+,0.01111,0.01414,0.01254,0.01206,0.00742,0.00519,0.00798,0.00691,0.01276,0.02512,0.01825,0.01665,0.0066,0.0179,0.05615,0.025
