Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.32551,0.20645,0.0973,0.0626,0.16404,0.40107,0.5811,0.66011,0.37186,0.25983,0.50771,0.91604,1.40457,1.04917,0.5911,0.5988
5 to 9,0.28491,0.47382,0.25737,0.10239,0.07667,0.15018,0.48365,0.8678,0.71203,0.52965,0.41451,0.88141,1.24648,1.4654,1.5513,0.76681
10 to 14,0.12914,0.26499,0.7079,0.30216,0.0779,0.0514,0.23282,0.60717,0.8093,0.70422,0.59933,0.50961,0.75986,1.10866,1.11348,0.99734
15 to 19,0.05666,0.08158,0.2166,0.63029,0.30721,0.07816,0.04436,0.21575,0.44707,0.77821,0.6495,0.61314,0.64793,0.54839,0.8372,0.76274
20 to 24,0.08863,0.02705,0.03212,0.10999,0.80749,0.21908,0.05764,0.0389,0.1228,0.37475,0.51601,0.45386,0.3955,0.39654,0.17183,0.20771
25 to 29,0.15679,0.09472,0.02531,0.03249,0.20157,0.7462,0.18458,0.0544,0.04834,0.11692,0.31913,0.52492,0.48911,0.4159,0.39914,0.16824
30 to 34,0.29384,0.20958,0.06851,0.02012,0.038,0.17405,0.6459,0.16123,0.09416,0.05264,0.15848,0.43428,0.61581,0.65912,0.3332,0.23087
35 to 39,0.32784,0.33076,0.17442,0.0869,0.01781,0.03707,0.18604,0.77911,0.1875,0.11799,0.09064,0.16383,0.44793,0.69527,0.65577,0.4535
40 to 44,0.12163,0.27601,0.26944,0.18463,0.10717,0.01896,0.06145,0.16644,0.64072,0.2094,0.12362,0.08334,0.23261,0.56732,0.60573,0.43969
45 to 49,0.04305,0.1089,0.14684,0.25061,0.28551,0.06022,0.02125,0.04531,0.16858,0.69302,0.24189,0.21094,0.122,0.18977,0.41739,0.40424
50 to 54,0.04537,0.03592,0.04583,0.12995,0.20428,0.13374,0.0362,0.03436,0.04652,0.18768,0.68217,0.34826,0.26309,0.24272,0.34659,0.47885
55 to 59,0.0231,0.02456,0.0134,0.03122,0.06911,0.06863,0.05141,0.02338,0.01053,0.04171,0.1849,0.81237,0.40365,0.28436,0.17074,0.22126
60 to 64,0.02015,0.01617,0.01153,0.01744,0.01817,0.03218,0.05081,0.03796,0.02966,0.02131,0.04988,0.23463,0.98227,0.29618,0.28883,0.09774
65 to 69,0.00763,0.00893,0.00829,0.00975,0.00486,0.01016,0.0105,0.02427,0.03432,0.01599,0.01945,0.08864,0.22953,0.90221,0.31654,0.17631
70 to 74,0.00303,0.00414,0.00591,0.00378,0.00571,0.00184,0.00601,0.01144,0.01358,0.01257,0.01837,0.01549,0.05501,0.18315,0.63919,0.13398
75+,0.00425,0.00327,0.00292,0.00261,0.00334,0.0064,0.00357,0.00404,0.00787,0.01869,0.02853,0.03606,0.01274,0.0322,0.19247,0.24145
