Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.62964,0.35863,0.20933,0.09816,0.156,0.37253,0.56111,0.56801,0.32567,0.24115,0.42584,0.71574,0.8596,0.60112,0.31513,0.22165
5 to 9,0.5263,0.91242,0.55906,0.16797,0.07594,0.14487,0.51225,0.79843,0.63635,0.48608,0.35023,0.68728,0.76481,0.84234,0.83225,0.28515
10 to 14,0.25298,0.47617,1.55451,0.46921,0.08179,0.04591,0.24405,0.58415,0.75259,0.67046,0.51808,0.40483,0.46588,0.64481,0.60915,0.37348
15 to 19,0.11014,0.15392,0.4598,1.09054,0.32725,0.07375,0.04726,0.21213,0.44661,0.80231,0.58628,0.50543,0.39639,0.32711,0.46495,0.28735
20 to 24,0.16455,0.04949,0.0729,0.19423,0.90035,0.20519,0.06126,0.03512,0.11544,0.41408,0.49285,0.40179,0.25596,0.23478,0.09527,0.07879
25 to 29,0.30691,0.17887,0.05205,0.05285,0.20025,0.74378,0.19174,0.047,0.04199,0.1156,0.31091,0.4771,0.33609,0.25071,0.21812,0.06378
30 to 34,0.54946,0.42004,0.16451,0.03724,0.04336,0.16938,0.7065,0.15083,0.08999,0.04998,0.14225,0.37012,0.41491,0.40323,0.18414,0.08859
35 to 39,0.56621,0.59921,0.42061,0.16988,0.01996,0.03165,0.18719,0.76202,0.1812,0.11761,0.07893,0.13452,0.2965,0.42592,0.3721,0.17218
40 to 44,0.22105,0.47029,0.59508,0.34467,0.11086,0.0162,0.06526,0.16011,0.65532,0.20969,0.11425,0.06693,0.156,0.36561,0.36494,0.17381
45 to 49,0.07723,0.1676,0.29007,0.39919,0.30377,0.05753,0.02068,0.0413,0.15103,0.78866,0.22448,0.17717,0.07829,0.11832,0.2476,0.16516
50 to 54,0.07618,0.0603,0.09453,0.20616,0.20423,0.1434,0.03767,0.02996,0.04355,0.19164,0.70177,0.31224,0.17493,0.14102,0.19316,0.19691
55 to 59,0.04286,0.04184,0.02909,0.05464,0.08486,0.08356,0.05496,0.0217,0.00939,0.04255,0.18379,0.79134,0.28869,0.17562,0.09346,0.08527
60 to 64,0.03358,0.02701,0.02133,0.02402,0.01895,0.03654,0.05243,0.03564,0.02804,0.02048,0.04532,0.20368,0.76767,0.20478,0.17809,0.03729
65 to 69,0.01349,0.01494,0.01689,0.01526,0.00507,0.00979,0.01103,0.0223,0.03187,0.01581,0.01631,0.07087,0.15925,0.6699,0.19493,0.06775
70 to 74,0.0051,0.00681,0.01226,0.00632,0.00503,0.00159,0.00596,0.01041,0.01269,0.01271,0.01549,0.01222,0.03744,0.11895,0.45034,0.05731
75+,0.00757,0.00612,0.00625,0.00448,0.00364,0.00538,0.00375,0.00364,0.00757,0.01991,0.02825,0.0288,0.00856,0.02033,0.12941,0.11152
