Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.61785,0.85012,0.64214,0.40469,0.60472,1.22512,1.03099,0.97114,0.65901,0.34698,0.52121,0.71336,0.83244,0.54932,0.28107,0.17934
5 to 9,1.25377,0.88328,1.17168,0.61211,0.37834,0.59328,1.2011,1.30399,0.96348,0.58825,0.41912,0.66977,0.73167,0.72894,0.69269,0.2186
10 to 14,0.81597,1.02492,1.12941,0.85535,0.31822,0.25615,0.70823,1.00197,0.8652,0.58109,0.50087,0.35192,0.41504,0.5218,0.45112,0.27842
15 to 19,0.42329,0.49228,0.69017,0.81505,0.64927,0.37308,0.19017,0.45355,0.55683,0.53939,0.45516,0.38987,0.34556,0.25239,0.34563,0.21416
20 to 24,0.56986,0.1949,0.20399,0.36872,0.55821,0.52188,0.22668,0.12116,0.18921,0.27765,0.32615,0.25954,0.19962,0.18496,0.07084,0.05675
25 to 29,0.70302,0.5166,0.18485,0.19413,0.42639,0.50639,0.39382,0.14883,0.11336,0.12773,0.23272,0.3008,0.22984,0.18479,0.16117,0.04333
30 to 34,0.6432,0.64742,0.32179,0.11848,0.14656,0.32713,0.32313,0.23555,0.17398,0.07975,0.15367,0.25856,0.2655,0.28491,0.12697,0.06406
35 to 39,0.52528,0.56121,0.44556,0.2874,0.07672,0.12129,0.26828,0.26787,0.19242,0.12958,0.0901,0.11876,0.22457,0.28934,0.2235,0.11671
40 to 44,0.30577,0.42451,0.39723,0.3222,0.15213,0.06632,0.13734,0.17279,0.17513,0.11629,0.09479,0.06216,0.11853,0.2254,0.1976,0.11056
45 to 49,0.16067,0.21749,0.22691,0.28194,0.23109,0.11402,0.06284,0.07529,0.12484,0.12565,0.10201,0.10308,0.06355,0.07274,0.13287,0.09002
50 to 54,0.19924,0.16196,0.14139,0.2332,0.19614,0.21814,0.10284,0.08283,0.07475,0.11625,0.1118,0.14815,0.11994,0.10592,0.13086,0.11211
55 to 59,0.18313,0.16704,0.07358,0.09878,0.12211,0.13313,0.10467,0.06198,0.0231,0.04006,0.1034,0.0928,0.11145,0.09925,0.06274,0.04783
60 to 64,0.11818,0.12351,0.05845,0.06553,0.04674,0.08207,0.09446,0.0865,0.05849,0.0298,0.03926,0.08007,0.07151,0.07092,0.08378,0.02304
65 to 69,0.06462,0.06777,0.05932,0.04098,0.02055,0.03797,0.0319,0.05553,0.05843,0.01993,0.01814,0.04619,0.05982,0.06031,0.05633,0.03573
70 to 74,0.02382,0.03128,0.03611,0.0201,0.01322,0.00752,0.01861,0.02455,0.02112,0.01472,0.01588,0.0105,0.02079,0.03555,0.03681,0.02098
75+,0.01633,0.01631,0.01426,0.01052,0.00901,0.00952,0.00796,0.00773,0.01238,0.01669,0.01682,0.01346,0.00461,0.00882,0.03431,0.01008
