Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.95413,0.76898,0.21104,0.11661,0.16223,0.21937,0.16015,0.11423,0.06726,0.01771,0.0215,0.02454,0.01707,0.01377,0.00498,0.00649
5 to 9,0.85638,2.93226,1.13584,0.37161,0.20919,0.11545,0.11524,0.13631,0.08836,0.02948,0.04085,0.02211,0.0189,0.01844,0.01068,0.00668
10 to 14,0.44891,1.10082,4.11561,1.77127,0.31948,0.10647,0.17931,0.10517,0.14181,0.03933,0.0475,0.02436,0.01666,0.012,0.01576,0.01011
15 to 19,0.34984,0.32215,0.67866,5.60408,2.17044,0.4391,0.15079,0.08213,0.09607,0.07911,0.07447,0.0305,0.02792,0.01333,0.03102,0.00589
20 to 24,0.61009,0.28145,0.46306,1.39957,3.62083,1.26547,0.41187,0.20183,0.17791,0.11219,0.14031,0.07879,0.06071,0.04013,0.02968,0.0133
25 to 29,0.9911,0.59416,0.41656,0.69632,1.5225,1.71777,0.64411,0.37681,0.22724,0.14814,0.18946,0.14127,0.09938,0.06668,0.04603,0.01889
30 to 34,1.23434,0.78174,0.51821,0.47524,0.97228,1.05261,0.87057,0.50821,0.33801,0.19578,0.14963,0.15777,0.11053,0.09096,0.05109,0.03865
35 to 39,1.09505,0.89778,0.64063,0.58826,0.66769,0.72871,0.6426,0.64012,0.3776,0.22611,0.15006,0.13533,0.13697,0.08428,0.07353,0.03207
40 to 44,0.81175,0.8314,0.80987,0.65952,0.56845,0.53341,0.4427,0.48863,0.44837,0.23748,0.18589,0.1448,0.1293,0.08783,0.09425,0.03349
45 to 49,0.60142,0.41783,0.53817,0.61354,0.69344,0.50517,0.3538,0.32804,0.28561,0.25462,0.21722,0.10675,0.10953,0.07305,0.07431,0.04345
50 to 54,0.74286,0.34192,0.36131,0.28306,0.43037,0.43639,0.36675,0.22853,0.20028,0.20248,0.17438,0.1601,0.1013,0.0825,0.06211,0.03239
55 to 59,0.67776,0.38717,0.24553,0.15361,0.31147,0.25571,0.28926,0.19794,0.10296,0.10131,0.151,0.16337,0.13721,0.09765,0.06779,0.03416
60 to 64,0.51695,0.41316,0.19797,0.12936,0.14398,0.11575,0.15211,0.19529,0.11204,0.08278,0.10542,0.12151,0.13709,0.10638,0.12816,0.03714
65 to 69,0.43668,0.30267,0.20104,0.11562,0.10862,0.0847,0.10901,0.13429,0.07823,0.05391,0.05728,0.06747,0.09943,0.09219,0.11488,0.04925
70 to 74,0.30809,0.16146,0.16054,0.07756,0.1338,0.0597,0.06182,0.0891,0.06703,0.05412,0.04252,0.04212,0.07854,0.05501,0.11927,0.04831
75+,0.15115,0.12432,0.14406,0.0537,0.10993,0.03139,0.05991,0.03677,0.02952,0.04358,0.0299,0.02385,0.03438,0.03424,0.04535,0.03419
