Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.15897,0.51378,0.16554,0.09451,0.1402,0.22519,0.20364,0.15698,0.10036,0.02779,0.03744,0.04898,0.03557,0.02942,0.00889,0.01127
5 to 9,0.50791,1.95913,0.89094,0.30119,0.18078,0.11851,0.14653,0.18732,0.13184,0.04625,0.07114,0.04413,0.03938,0.03938,0.01908,0.01161
10 to 14,0.26624,0.73549,3.22826,1.4356,0.2761,0.10929,0.228,0.14454,0.21159,0.06172,0.08272,0.04863,0.03472,0.02563,0.02815,0.01756
15 to 19,0.20749,0.21524,0.53234,4.54206,1.87572,0.45076,0.19174,0.11287,0.14335,0.12415,0.12969,0.06087,0.05818,0.02846,0.05541,0.01023
20 to 24,0.36184,0.18805,0.36322,1.13434,3.12916,1.29906,0.5237,0.27736,0.26545,0.17605,0.24435,0.15726,0.1265,0.08571,0.053,0.0231
25 to 29,0.58781,0.39697,0.32675,0.56436,1.31576,1.76336,0.819,0.51783,0.33905,0.23247,0.32994,0.28198,0.20708,0.1424,0.08222,0.03281
30 to 34,0.73207,0.5223,0.40648,0.38518,0.84026,1.08056,1.10695,0.69841,0.50432,0.30723,0.26058,0.31491,0.23032,0.19426,0.09126,0.06714
35 to 39,0.64946,0.59983,0.5025,0.47678,0.57702,0.74805,0.81708,0.87969,0.5634,0.35482,0.26132,0.27013,0.2854,0.17999,0.13133,0.05571
40 to 44,0.48144,0.55548,0.63526,0.53454,0.49126,0.54757,0.5629,0.6715,0.66898,0.37267,0.32372,0.28904,0.26943,0.18756,0.16834,0.05818
45 to 49,0.3567,0.27917,0.42214,0.49727,0.59928,0.51858,0.44987,0.45081,0.42615,0.39956,0.37827,0.21308,0.22823,0.15601,0.13272,0.07548
50 to 54,0.44058,0.22844,0.28341,0.22942,0.37193,0.44798,0.46633,0.31406,0.29883,0.31775,0.30368,0.31957,0.21108,0.1762,0.11093,0.05626
55 to 59,0.40197,0.25868,0.19259,0.1245,0.26918,0.2625,0.3678,0.27202,0.15361,0.15898,0.26296,0.32608,0.2859,0.20854,0.12108,0.05934
60 to 64,0.3066,0.27604,0.15529,0.10485,0.12443,0.11882,0.19341,0.26838,0.16717,0.1299,0.18358,0.24255,0.28565,0.22719,0.22891,0.06451
65 to 69,0.25899,0.20222,0.15769,0.09371,0.09387,0.08695,0.13861,0.18455,0.11672,0.0846,0.09975,0.13467,0.20718,0.19687,0.2052,0.08555
70 to 74,0.18273,0.10787,0.12593,0.06286,0.11563,0.06129,0.0786,0.12244,0.10001,0.08492,0.07405,0.08407,0.16366,0.11748,0.21303,0.08392
75+,0.08965,0.08306,0.113,0.04352,0.095,0.03222,0.07618,0.05054,0.04404,0.0684,0.05207,0.04761,0.07163,0.07312,0.081,0.05939
