Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.75369,0.70041,0.19035,0.10091,0.14143,0.22736,0.19212,0.13496,0.08092,0.02047,0.027,0.03414,0.02325,0.01663,0.00596,0.00806
5 to 9,0.76854,2.67079,1.02452,0.32159,0.18237,0.11965,0.13824,0.16105,0.10631,0.03407,0.05131,0.03076,0.02575,0.02226,0.01279,0.00831
10 to 14,0.40287,1.00266,3.71226,1.53285,0.27852,0.11034,0.2151,0.12427,0.17062,0.04547,0.05966,0.03389,0.0227,0.01449,0.01887,0.01257
15 to 19,0.31396,0.29342,0.61215,4.84977,1.89217,0.45509,0.18089,0.09704,0.11559,0.09146,0.09354,0.04242,0.03803,0.01609,0.03714,0.00732
20 to 24,0.54752,0.25635,0.41768,1.21118,3.15661,1.31155,0.49408,0.23846,0.21405,0.12969,0.17624,0.1096,0.08269,0.04845,0.03553,0.01653
25 to 29,0.88944,0.54117,0.37574,0.6026,1.3273,1.78032,0.77268,0.44521,0.27339,0.17125,0.23797,0.19652,0.13537,0.0805,0.05511,0.02348
30 to 34,1.10773,0.71203,0.46742,0.41127,0.84763,1.09095,1.04435,0.60046,0.40666,0.22632,0.18794,0.21947,0.15056,0.10982,0.06117,0.04805
35 to 39,0.98273,0.81772,0.57784,0.50908,0.58209,0.75524,0.77087,0.75632,0.4543,0.26138,0.18848,0.18826,0.18656,0.10176,0.08802,0.03987
40 to 44,0.72849,0.75726,0.7305,0.57075,0.49557,0.55283,0.53107,0.57732,0.53944,0.27453,0.23349,0.20143,0.17613,0.10604,0.11283,0.04164
45 to 49,0.53974,0.38058,0.48542,0.53096,0.60453,0.52357,0.42443,0.38759,0.34363,0.29433,0.27283,0.1485,0.14919,0.0882,0.08896,0.05402
50 to 54,0.66666,0.31143,0.3259,0.24496,0.37519,0.45229,0.43995,0.27002,0.24096,0.23407,0.21903,0.22271,0.13798,0.09961,0.07435,0.04026
55 to 59,0.60824,0.35265,0.22146,0.13293,0.27154,0.26502,0.347,0.23387,0.12387,0.11711,0.18966,0.22725,0.18689,0.11789,0.08116,0.04247
60 to 64,0.46393,0.37631,0.17857,0.11195,0.12552,0.11996,0.18247,0.23074,0.1348,0.09569,0.13241,0.16904,0.18673,0.12844,0.15343,0.04617
65 to 69,0.39189,0.27568,0.18133,0.10006,0.09469,0.08778,0.13077,0.15866,0.09412,0.06232,0.07195,0.09385,0.13543,0.1113,0.13754,0.06123
70 to 74,0.27649,0.14706,0.14481,0.06712,0.11665,0.06188,0.07416,0.10527,0.08065,0.06256,0.05341,0.05859,0.10698,0.06642,0.14278,0.06006
75+,0.13565,0.11324,0.12994,0.04647,0.09583,0.03253,0.07187,0.04345,0.03551,0.05038,0.03756,0.03318,0.04683,0.04134,0.05429,0.0425
