Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.74843,0.35297,0.1167,0.06751,0.09884,0.16365,0.15002,0.14366,0.12209,0.04099,0.06284,0.08692,0.06341,0.05135,0.0171,0.02517
5 to 9,0.32799,1.34593,0.6281,0.21516,0.12745,0.08612,0.10795,0.17143,0.1604,0.06821,0.1194,0.0783,0.07021,0.06874,0.03671,0.02593
10 to 14,0.17193,0.50529,2.27587,1.02553,0.19465,0.07942,0.16797,0.13227,0.25741,0.09102,0.13885,0.08629,0.06189,0.04474,0.05418,0.03923
15 to 19,0.13399,0.14787,0.37529,3.24466,1.32236,0.32757,0.14126,0.10329,0.17439,0.18309,0.21769,0.10801,0.10371,0.04968,0.10664,0.02286
20 to 24,0.23366,0.12919,0.25607,0.81032,2.20603,0.94403,0.38582,0.25383,0.32293,0.25963,0.41013,0.27904,0.22551,0.14961,0.10201,0.0516
25 to 29,0.37959,0.27272,0.23035,0.40316,0.9276,1.28145,0.60338,0.4739,0.41247,0.34282,0.5538,0.50033,0.36915,0.24856,0.15824,0.0733
30 to 34,0.47275,0.35883,0.28656,0.27515,0.59237,0.78525,0.81552,0.63915,0.61354,0.45308,0.43738,0.55876,0.41058,0.33909,0.17564,0.14999
35 to 39,0.4194,0.41209,0.35426,0.34059,0.4068,0.54361,0.60196,0.80506,0.68541,0.52326,0.43862,0.47931,0.50876,0.31418,0.25275,0.12446
40 to 44,0.3109,0.38162,0.44784,0.38185,0.34633,0.39792,0.4147,0.61453,0.81386,0.54959,0.54337,0.51284,0.4803,0.3274,0.32399,0.12998
45 to 49,0.23034,0.19179,0.2976,0.35523,0.42248,0.37685,0.33143,0.41257,0.51844,0.58924,0.63493,0.37808,0.40685,0.27231,0.25545,0.16863
50 to 54,0.28451,0.15694,0.1998,0.16389,0.26221,0.32555,0.34355,0.28742,0.36355,0.46859,0.50972,0.56702,0.37628,0.30756,0.2135,0.12568
55 to 59,0.25958,0.17772,0.13577,0.08894,0.18977,0.19076,0.27097,0.24894,0.18688,0.23445,0.44137,0.57858,0.50966,0.36401,0.23304,0.13256
60 to 64,0.19799,0.18964,0.10948,0.0749,0.08772,0.08635,0.14249,0.24561,0.20337,0.19156,0.30814,0.43036,0.50921,0.39657,0.44057,0.14412
65 to 69,0.16725,0.13893,0.11117,0.06694,0.06618,0.06318,0.10212,0.16889,0.142,0.12476,0.16743,0.23895,0.36933,0.34365,0.39493,0.19111
70 to 74,0.118,0.07411,0.08878,0.04491,0.08152,0.04454,0.05791,0.11205,0.12167,0.12524,0.12429,0.14916,0.29175,0.20507,0.41,0.18748
75+,0.05789,0.05706,0.07966,0.03109,0.06697,0.02341,0.05612,0.04625,0.05358,0.10087,0.0874,0.08448,0.1277,0.12763,0.1559,0.13267
