Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.56302,0.68773,0.16822,0.0914,0.13148,0.25208,0.2098,0.13351,0.0848,0.0239,0.0317,0.04523,0.02871,0.02079,0.00491,0.00522
5 to 9,0.68498,2.62244,0.90541,0.29126,0.16953,0.13266,0.15096,0.15932,0.11141,0.03978,0.06024,0.04075,0.03179,0.02783,0.01053,0.00538
10 to 14,0.35906,0.98451,3.28067,1.38828,0.25892,0.12234,0.2349,0.12293,0.17879,0.05308,0.07005,0.04491,0.02802,0.01812,0.01554,0.00814
15 to 19,0.27982,0.28811,0.54098,4.39235,1.75899,0.50457,0.19754,0.096,0.12113,0.10676,0.10983,0.05621,0.04696,0.02012,0.03059,0.00474
20 to 24,0.48799,0.25171,0.36912,1.09695,2.93444,1.45415,0.53954,0.2359,0.2243,0.1514,0.20692,0.14522,0.1021,0.06058,0.02926,0.0107
25 to 29,0.79273,0.53138,0.33205,0.54576,1.23388,1.97389,0.84378,0.44043,0.28649,0.19991,0.27941,0.26038,0.16713,0.10065,0.04539,0.0152
30 to 34,0.98729,0.69914,0.41308,0.37248,0.78797,1.20956,1.14044,0.59401,0.42615,0.26421,0.22067,0.29079,0.18589,0.1373,0.05038,0.03111
35 to 39,0.87588,0.80292,0.51066,0.46107,0.54112,0.83736,0.8418,0.74819,0.47607,0.30513,0.2213,0.24944,0.23034,0.12722,0.07249,0.02582
40 to 44,0.64928,0.74355,0.64557,0.51692,0.46069,0.61294,0.57993,0.57112,0.56528,0.32048,0.27414,0.2669,0.21745,0.13257,0.09292,0.02696
45 to 49,0.48105,0.37369,0.42899,0.48088,0.56198,0.58049,0.46348,0.38343,0.36009,0.3436,0.32034,0.19676,0.1842,0.11026,0.07326,0.03498
50 to 54,0.59418,0.30579,0.28801,0.22186,0.34879,0.50146,0.48043,0.26712,0.25251,0.27325,0.25717,0.29509,0.17036,0.12454,0.06123,0.02607
55 to 59,0.54211,0.34626,0.19571,0.1204,0.25243,0.29383,0.37893,0.23135,0.1298,0.13672,0.22268,0.30111,0.23075,0.14739,0.06684,0.0275
60 to 64,0.41349,0.3695,0.15781,0.10139,0.11668,0.133,0.19926,0.22826,0.14126,0.11171,0.15546,0.22397,0.23054,0.16058,0.12636,0.0299
65 to 69,0.34928,0.27069,0.16025,0.09062,0.08803,0.09733,0.14281,0.15696,0.09863,0.07275,0.08447,0.12435,0.16721,0.13915,0.11327,0.03964
70 to 74,0.24643,0.1444,0.12797,0.06079,0.10844,0.0686,0.08098,0.10414,0.08451,0.07303,0.06271,0.07763,0.13209,0.08304,0.11759,0.03889
75+,0.1209,0.11119,0.11484,0.04209,0.08909,0.03607,0.07848,0.04298,0.03722,0.05882,0.04409,0.04396,0.05781,0.05168,0.04471,0.02752
