Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.17975,0.63464,0.19604,0.10354,0.118,0.18223,0.1715,0.14004,0.09543,0.02659,0.03757,0.04859,0.03522,0.02948,0.01018,0.01392
5 to 9,0.51702,2.42001,1.0551,0.32995,0.15215,0.0959,0.1234,0.16712,0.12537,0.04424,0.07139,0.04378,0.03899,0.03946,0.02184,0.01434
10 to 14,0.27102,0.90851,3.82309,1.57268,0.23237,0.08844,0.19202,0.12895,0.2012,0.05904,0.08301,0.04824,0.03438,0.02569,0.03223,0.02169
15 to 19,0.21121,0.26587,0.63043,4.97579,1.57865,0.36475,0.16148,0.10069,0.13631,0.11876,0.13015,0.06039,0.0576,0.02852,0.06345,0.01264
20 to 24,0.36833,0.23228,0.43015,1.24266,2.63358,1.0512,0.44106,0.24744,0.25241,0.1684,0.2452,0.15601,0.12525,0.08589,0.06069,0.02853
25 to 29,0.59835,0.49036,0.38696,0.61825,1.10738,1.42692,0.68976,0.46198,0.3224,0.22237,0.3311,0.27973,0.20503,0.14269,0.09415,0.04053
30 to 34,0.7452,0.64517,0.48138,0.42196,0.70718,0.87439,0.93227,0.62307,0.47955,0.29389,0.26149,0.3124,0.22804,0.19466,0.1045,0.08294
35 to 39,0.66111,0.74094,0.59509,0.52231,0.48564,0.60533,0.68814,0.7848,0.53573,0.3394,0.26223,0.26798,0.28257,0.18036,0.15037,0.06882
40 to 44,0.49007,0.68616,0.75231,0.58558,0.41346,0.4431,0.47407,0.59907,0.63613,0.35648,0.32486,0.28673,0.26676,0.18795,0.19275,0.07187
45 to 49,0.36309,0.34484,0.49992,0.54475,0.50437,0.41964,0.37888,0.40219,0.40522,0.3822,0.3796,0.21138,0.22597,0.15633,0.15198,0.09324
50 to 54,0.44848,0.28219,0.33563,0.25133,0.31303,0.36251,0.39274,0.28019,0.28415,0.30394,0.30474,0.31702,0.20899,0.17656,0.12702,0.0695
55 to 59,0.40918,0.31953,0.22807,0.13639,0.22655,0.21241,0.30976,0.24267,0.14607,0.15207,0.26388,0.32348,0.28307,0.20897,0.13864,0.0733
60 to 64,0.3121,0.34098,0.1839,0.11486,0.10472,0.09615,0.16289,0.23943,0.15896,0.12425,0.18422,0.24061,0.28282,0.22766,0.26212,0.07969
65 to 69,0.26364,0.24979,0.18675,0.10266,0.079,0.07036,0.11674,0.16464,0.11099,0.08092,0.1001,0.13359,0.20513,0.19728,0.23496,0.10568
70 to 74,0.186,0.13325,0.14913,0.06887,0.09732,0.04959,0.0662,0.10923,0.0951,0.08123,0.07431,0.08339,0.16204,0.11773,0.24393,0.10367
75+,0.09125,0.1026,0.13382,0.04768,0.07995,0.02607,0.06416,0.04508,0.04188,0.06542,0.05225,0.04723,0.07092,0.07327,0.09275,0.07336
