Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.83164,0.90627,0.24876,0.12017,0.13308,0.1664,0.14445,0.11246,0.07165,0.0169,0.02098,0.0259,0.01734,0.01527,0.00443,0.00752
5 to 9,0.8027,3.45579,1.33886,0.38296,0.1716,0.08757,0.10394,0.1342,0.09413,0.02812,0.03986,0.02334,0.0192,0.02044,0.00952,0.00774
10 to 14,0.42077,1.29736,4.85125,1.82535,0.26208,0.08076,0.16173,0.10355,0.15107,0.03753,0.04635,0.02572,0.01692,0.0133,0.01405,0.01171
15 to 19,0.32791,0.37966,0.79997,5.77519,1.78048,0.33307,0.13601,0.08086,0.10235,0.07548,0.07267,0.03219,0.02836,0.01477,0.02765,0.00682
20 to 24,0.57185,0.3317,0.54583,1.4423,2.97029,0.9599,0.37149,0.19871,0.18952,0.10704,0.13691,0.08316,0.06166,0.04448,0.02645,0.01541
25 to 29,0.92897,0.70023,0.49102,0.71758,1.24896,1.30299,0.58097,0.371,0.24207,0.14134,0.18488,0.14911,0.10094,0.07391,0.04103,0.02189
30 to 34,1.15697,0.92131,0.61084,0.48975,0.79759,0.79845,0.78523,0.50037,0.36007,0.1868,0.14601,0.16652,0.11227,0.10083,0.04554,0.04478
35 to 39,1.02641,1.05807,0.75513,0.60622,0.54773,0.55275,0.57961,0.63025,0.40225,0.21573,0.14642,0.14284,0.13911,0.09342,0.06554,0.03716
40 to 44,0.76087,0.97983,0.95463,0.67966,0.46632,0.40461,0.3993,0.48109,0.47763,0.22658,0.18139,0.15284,0.13133,0.09735,0.08401,0.03881
45 to 49,0.56373,0.49243,0.63436,0.63227,0.56885,0.38319,0.31912,0.32298,0.30426,0.24293,0.21196,0.11268,0.11125,0.08097,0.06623,0.05035
50 to 54,0.6963,0.40296,0.42589,0.29171,0.35305,0.33102,0.33079,0.22501,0.21335,0.19319,0.17016,0.16898,0.10289,0.09145,0.05536,0.03753
55 to 59,0.63528,0.4563,0.28941,0.1583,0.25551,0.19396,0.2609,0.19488,0.10968,0.09666,0.14734,0.17243,0.13936,0.10823,0.06042,0.03958
60 to 64,0.48455,0.48692,0.23336,0.13331,0.11811,0.0878,0.1372,0.19228,0.11935,0.07898,0.10287,0.12826,0.13924,0.11791,0.11424,0.04303
65 to 69,0.40931,0.3567,0.23697,0.11915,0.0891,0.06425,0.09833,0.13222,0.08333,0.05144,0.05589,0.07121,0.10099,0.10218,0.1024,0.05706
70 to 74,0.28878,0.19028,0.18924,0.07993,0.10976,0.04529,0.05576,0.08772,0.07141,0.05163,0.04149,0.04445,0.07977,0.06098,0.10631,0.05598
75+,0.14168,0.14652,0.16981,0.05534,0.09018,0.02381,0.05404,0.03621,0.03145,0.04158,0.02918,0.02518,0.03492,0.03795,0.04042,0.03961
