Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.80696,0.35163,0.00294,0.01418,0.00878,0.00209,0.00562,0.00944,0.00331,0.02728,0.00724,0.0229,0.01057,0.00036,0,0
5 to 9,0.28101,6.5761,1.43101,0.04895,0.01321,0.00927,0.05021,0.02959,0.01922,0.04215,0.07561,0.07083,0.01285,0.00499,0,0.00422
10 to 14,0.05086,0.3686,8.36762,2.07493,0.00528,0.00294,0.03348,0.02185,0.01538,0.02751,0.09528,0.06178,0.00659,0.00194,0,0
15 to 19,0.04423,0.03255,0.20705,5.67654,0.3623,0.01304,0.01785,0.0093,0.05159,0.08175,0.08485,0.05903,0.02697,0,0.00152,0.00424
20 to 24,0.00653,0.01653,0.01066,0.03543,0.10054,0.02291,0.00504,0.00199,0.00102,0.00073,0.00079,0.00095,0.00213,0.00036,0,0
25 to 29,0.00649,0.00665,0.00523,0.0051,0.00414,0.01098,0.00624,0.00407,0.00209,0.00261,0.00142,0.00613,0.00024,0.00034,0,0.00152
30 to 34,0.01594,0.01406,0.00862,0.00897,0.00334,0.00199,0.00601,0.00601,0.00218,0.00537,0.00423,0.00251,0.00225,0.00221,0,0
35 to 39,0.01172,0.01326,0.01371,0.01259,0.00412,0.00268,0.00422,0.00455,0.00299,0.0047,0.00423,0.00426,0.00634,0.00097,0.00152,0
40 to 44,0.00596,0.01451,0.01614,0.0119,0.0028,0.00326,0.00474,0.00523,0.00664,0.00454,0.00545,0.00554,0.00142,0.00098,0.00157,0
45 to 49,0.00694,0.01005,0.0123,0.01363,0.00342,0.00287,0.00248,0.00251,0.00238,0.00274,0.00748,0.00403,0.00227,0.00159,0.00423,0
50 to 54,0.00397,0.00923,0.00939,0.00819,0.00194,8.00E-04,0.00217,4.00E-04,0.00285,0.00362,0.00406,0.00374,0.00187,0.00036,0.00704,0
55 to 59,0.00276,0.00287,0.00474,0.00493,0.00145,0.00147,0.00037,0.00104,0.00088,0.00184,0.00238,0.00454,0.00102,0.00285,0.00429,0
60 to 64,0.00037,0.00103,0.00111,0.00106,0.00012,6.00E-04,0.00079,8.00E-05,0.00085,0.00052,0.00076,0.00157,0.00379,0.00158,0.00155,0
65 to 69,0.00017,0.00026,0.00013,0.00019,0.00023,0.00042,8.00E-05,0.00037,9.00E-05,0.00031,0,0,0.00216,0.00346,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
