Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.06647,0.02182,0.00014,0.00057,0.00147,0.00142,0.00289,0.00493,0.00162,0.01362,0.00362,0.01286,0.00759,0.00035,0,0
5 to 9,0.01744,2.53761,0.33056,0.003,0.00164,0.00521,0.02487,0.01509,0.01114,0.02502,0.04911,0.05318,0.01389,0.00841,0,0.00422
10 to 14,0.0025,0.08514,1.17332,0.08618,0.00053,0.00149,0.01346,0.00902,0.00679,0.01245,0.04615,0.03479,0.00539,0.00257,0,0
15 to 19,0.00178,0.00199,0.0086,0.12516,0.0308,0.0063,0.00591,0.00314,0.01642,0.02667,0.02811,0.0229,0.01517,0,0.00152,0.00424
20 to 24,0.00109,0.00205,0.00107,0.00301,0.03133,0.01895,0.00357,0.00142,7.00E-04,0.00051,0.00055,0.00072,0.00184,0.00036,0,0
25 to 29,0.00439,0.00374,0.00265,0.00246,0.00342,0.01079,0.00604,0.00395,0.00202,0.00253,0.00138,0.006,0.00024,0.00034,0,0.00152
30 to 34,0.00821,0.00696,0.00347,0.00297,0.00237,0.00193,0.00566,0.00568,0.00206,0.00508,0.00402,0.00243,0.00225,0.00225,0,0
35 to 39,0.00612,0.00676,0.00566,0.00426,0.00295,0.00259,0.00399,0.00431,0.00283,0.00446,0.00403,0.00414,0.00634,0.00099,0.00152,0
40 to 44,0.00292,0.00841,0.00712,0.00379,0.00193,0.00315,0.00447,0.00495,0.00633,0.00434,0.00525,0.00543,0.00145,0.00102,0.00157,0
45 to 49,0.00346,0.00597,0.00556,0.00445,0.00239,0.00278,0.00235,0.00239,0.00228,0.00263,0.00723,0.00397,0.00231,0.00164,0.00423,0
50 to 54,0.00199,0.00599,0.00455,0.00271,0.00136,0.00078,0.00207,0.00038,0.00275,0.0035,0.00396,0.00372,0.00191,0.00038,0.00704,0
55 to 59,0.00155,0.00216,0.00267,0.00191,0.00109,0.00144,0.00036,0.00101,0.00087,0.00181,0.00236,0.00457,0.00105,0.00297,0.00429,0
60 to 64,0.00027,0.00111,9.00E-04,6.00E-04,1.00E-04,0.00059,0.00079,8.00E-05,0.00086,0.00053,0.00078,0.00162,0.00395,0.00165,0.00155,0
65 to 69,0.00016,0.00043,0.00018,0.00017,0.00023,0.00043,8.00E-05,0.00038,9.00E-05,0.00032,0,0,0.00225,0.00357,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
