Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.49424,0.25508,0.00227,0.01252,0.0152,0.00212,0.0059,0.01006,0.00327,0.02728,0.00618,0.0212,0.01148,4.00E-04,0,0
5 to 9,0.20385,5.84538,1.35125,0.0532,0.02951,0.01077,0.06365,0.0383,0.02225,0.04967,0.06961,0.07285,0.01701,0.00684,0,0.00422
10 to 14,0.03913,0.34805,8.39385,2.39561,0.01251,0.00355,0.04453,0.02967,0.01868,0.03402,0.09178,0.06639,0.00908,0.00272,0,0
15 to 19,0.03906,0.03538,0.23905,7.54026,0.97826,0.01701,0.02622,0.01393,0.06951,0.11202,0.09073,0.06987,0.03991,0,0.00152,0.00424
20 to 24,0.01131,0.0369,0.02525,0.09565,0.45448,0.0326,0.009,0.00359,0.00176,0.00127,0.00113,0.00141,0.00324,0.00045,0,0
25 to 29,0.00656,0.00773,0.00632,0.00665,0.00589,0.01118,0.00649,0.00424,0.00216,0.00271,0.00144,0.00624,0.00024,0.00034,0,0.00152
30 to 34,0.01675,0.01783,0.01147,0.01318,0.00597,0.00207,0.00653,0.00655,0.00235,0.00578,0.00436,0.00262,0.00238,0.00226,0,0
35 to 39,0.0125,0.01717,0.01861,0.01887,0.00743,0.00279,0.0046,0.00497,0.00323,0.00508,0.00437,0.00445,0.00669,0.00099,0.00152,0
40 to 44,0.00588,0.0168,0.01961,0.01603,0.00482,0.00337,0.0051,0.00564,0.00707,0.00484,0.00556,0.00572,0.00149,0.00101,0.00157,0
45 to 49,0.00693,0.01184,0.01521,0.01868,0.00591,0.00297,0.00267,0.00272,0.00254,0.00293,0.00765,0.00417,0.00238,0.00163,0.00423,0
50 to 54,0.00339,0.00849,0.00905,0.00876,0.0028,0.00081,0.00224,0.00041,0.00291,0.00371,0.00402,0.00376,0.00191,0.00037,0.00704,0
55 to 59,0.00256,0.00295,0.00509,0.00583,0.00214,0.0015,0.00038,0.00108,0.00091,0.00191,0.00239,0.0046,0.00105,0.00289,0.00429,0
60 to 64,4.00E-04,0.00136,0.00152,0.00157,0.00018,0.00061,0.00083,9.00E-05,0.00089,0.00054,0.00078,0.00162,0.00391,0.0016,0.00155,0
65 to 69,0.00019,0.00035,0.00019,0.00027,0.00029,0.00043,8.00E-05,0.00038,9.00E-05,0.00032,0,0,0.00219,0.00347,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
