Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.0273,0.0566,0.06604,0.03762,0.07296,0.04579,0.05737,0.04385,0.02797,0.00475,0.00251,0.00038,0
20 to 24,0,0,0,0.08398,0.42051,0.53123,0.38804,0.31295,0.37017,0.25287,0.21511,0.13758,0.06845,0.01415,0.001,0.00277
25 to 29,0,0,0,0.06411,0.53497,1.18751,0.8493,0.77556,0.77083,0.58077,0.59801,0.33592,0.16195,0.04817,0.00171,0.00379
30 to 34,0,0,0,0.06301,0.4707,0.8958,1.17168,0.8755,0.95846,0.785,0.73486,0.49238,0.18807,0.04683,0.00305,0.00401
35 to 39,0,0,0,0.05694,0.50421,0.85031,0.99901,1.17619,0.99723,0.83908,0.74399,0.45136,0.21609,0.01836,0.00335,0.00701
40 to 44,0,0,0,0.06375,0.38257,0.78943,0.8997,1.14991,1.22776,0.87235,1.01241,0.57987,0.2348,0.04153,0.00296,0.0023
45 to 49,0,0,0,0.05037,0.3071,0.55473,0.73622,0.79757,0.98876,0.85334,0.97878,0.45847,0.2298,0.0359,0.00247,0.00082
50 to 54,0,0,0,0.03081,0.24421,0.47492,0.46251,0.60483,0.74015,0.57248,0.77445,0.4427,0.18286,0.04282,0.00156,0.00078
55 to 59,0,0,0,0.01347,0.1034,0.2022,0.24868,0.22178,0.23663,0.26844,0.34623,0.25527,0.13008,0.02126,0.00238,0
60 to 64,0,0,0,0.00382,0.04038,0.0715,0.07058,0.04863,0.07166,0.05721,0.06988,0.06257,0.02686,0.00913,0.00068,0
65 to 69,0,0,0,0.00092,0.00443,0.00981,0.01059,0.00774,0.00901,0.00981,0.00656,0.00541,0.00398,0.00081,0.00013,8.00E-05
70 to 74,0,0,0,4.00E-05,0.00079,0.00082,0.00035,0.00076,0.00085,0.00086,0.00087,0.00035,0.00021,0.00019,2.00E-05,0
75+,0,0,0,0,0.00022,0.00024,3.00E-04,5.00E-04,0.00107,0.00049,0.00075,0.00035,0.00038,9.00E-05,3.00E-05,0
