Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.34629,0.26688,0.24174,0.13092,0.26257,0.16762,0.21653,0.17454,0.13784,0.03593,0.01639,0.00135,0
20 to 24,0,0,0,0.39596,0.73713,0.72291,0.50198,0.41872,0.50376,0.35483,0.31829,0.25203,0.19257,0.03437,0.00132,0.00367
25 to 29,0,0,0,0.23467,0.72801,1.25454,0.85293,0.80556,0.81437,0.63267,0.68693,0.47773,0.35372,0.09081,0.00176,0.00389
30 to 34,0,0,0,0.21924,0.60891,0.89963,1.11858,0.86445,0.96259,0.81291,0.80244,0.66565,0.39049,0.08393,0.00298,0.00392
35 to 39,0,0,0,0.20493,0.67462,0.88321,0.98641,1.20115,1.03584,0.89868,0.84024,0.63111,0.46404,0.03402,0.00338,0.00708
40 to 44,0,0,0,0.23335,0.52063,0.83402,0.90358,1.19443,1.29716,0.95033,1.16299,0.82469,0.51287,0.0783,0.00304,0.00237
45 to 49,0,0,0,0.19013,0.43093,0.6043,0.7624,0.85423,1.07715,0.95854,1.15933,0.67233,0.51755,0.06978,0.00262,0.00087
50 to 54,0,0,0,0.12262,0.36135,0.54553,0.50505,0.68308,0.85023,0.67808,0.96728,0.68455,0.43428,0.08776,0.00175,0.00088
55 to 59,0,0,0,0.06638,0.18941,0.28755,0.3362,0.3101,0.33654,0.39365,0.53538,0.4887,0.38245,0.05396,0.0033,0
60 to 64,0,0,0,0.02891,0.11362,0.15617,0.14655,0.10443,0.15653,0.12884,0.16594,0.18396,0.12131,0.03557,0.00144,0
65 to 69,0,0,0,0.00601,0.01076,0.01849,0.01898,0.01434,0.01699,0.01907,0.01345,0.01373,0.01549,0.00273,0.00023,0.00014
70 to 74,0,0,0,0.00015,0.00104,0.00084,0.00034,0.00077,0.00088,0.00091,0.00097,0.00048,0.00045,0.00035,2.00E-05,0
75+,0,0,0,0,0.00029,0.00025,0.00029,0.00051,0.0011,0.00051,0.00083,0.00049,0.00082,0.00017,3.00E-05,0
