Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.0532,0.08968,0.09338,0.04947,0.10227,0.06209,0.07906,0.05495,0.04689,0.00943,0.00449,0.00053,0
20 to 24,0,0,0,0.13305,0.5418,0.61085,0.41496,0.35674,0.40815,0.28337,0.21917,0.18754,0.11058,0.02057,0.00113,0.00314
25 to 29,0,0,0,0.09065,0.61516,1.21868,0.81056,0.789,0.75853,0.58086,0.54378,0.40867,0.2335,0.0625,0.00174,0.00384
30 to 34,0,0,0,0.08285,0.50335,0.85494,1.03993,0.8283,0.87712,0.73013,0.62143,0.55706,0.25217,0.05651,0.00288,0.00378
35 to 39,0,0,0,0.07982,0.57475,0.86506,0.94516,1.18619,0.9728,0.8319,0.67065,0.54434,0.30886,0.02361,0.00336,0.00703
40 to 44,0,0,0,0.08643,0.42182,0.77684,0.82335,1.12174,1.1585,0.83659,0.88275,0.67643,0.32462,0.05168,0.00287,0.00224
45 to 49,0,0,0,0.06942,0.34415,0.55481,0.68476,0.79075,0.94823,0.83174,0.86738,0.54357,0.3229,0.04539,0.00244,0.00081
50 to 54,0,0,0,0.0386,0.24882,0.43185,0.39112,0.54521,0.64536,0.50732,0.62399,0.4772,0.23362,0.04922,0.0014,7.00E-04
55 to 59,0,0,0,0.02258,0.14094,0.24598,0.28135,0.26746,0.27604,0.31826,0.37322,0.36814,0.22232,0.03271,0.00286,0
60 to 64,0,0,0,0.00759,0.06524,0.10309,0.09464,0.06951,0.09907,0.08039,0.08927,0.10694,0.05442,0.01663,0.00096,0
65 to 69,0,0,0,0.00165,0.00644,0.01272,0.01278,0.00995,0.01121,0.01241,0.00754,0.00832,0.00725,0.00133,0.00016,1.00E-04
70 to 74,0,0,0,6.00E-05,0.00089,0.00083,0.00033,0.00076,0.00083,0.00085,0.00078,0.00042,3.00E-04,0.00024,2.00E-05,0
75+,0,0,0,0,0.00025,0.00025,0.00028,5.00E-04,0.00104,0.00048,0.00067,0.00042,0.00055,0.00012,3.00E-05,0
