Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.05756,0.08882,0.08841,0.05035,0.10455,0.06389,0.07918,0.06304,0.05185,0.01497,0.01328,0.00055,0
20 to 24,0,0,0,0.13178,0.49124,0.52941,0.38658,0.33384,0.38447,0.25982,0.2302,0.18985,0.16069,0.05575,0.00108,0.00299
25 to 29,0,0,0,0.08583,0.53314,1.00959,0.72179,0.70579,0.68299,0.50907,0.54593,0.39545,0.32435,0.16187,0.00158,0.00349
30 to 34,0,0,0,0.08432,0.46892,0.76131,0.99542,0.79645,0.84894,0.68783,0.67063,0.57942,0.37652,0.15731,0.00282,0.0037
35 to 39,0,0,0,0.0816,0.53787,0.77382,0.90882,1.14576,0.94581,0.78727,0.72703,0.56876,0.46326,0.06603,0.0033,0.00691
40 to 44,0,0,0,0.08894,0.39735,0.69947,0.79689,1.09062,1.13376,0.79691,0.96325,0.71142,0.4901,0.14546,0.00284,0.00221
45 to 49,0,0,0,0.06953,0.31554,0.48624,0.64509,0.74833,0.90325,0.77117,0.92124,0.55645,0.4745,0.12436,0.00235,0.00078
50 to 54,0,0,0,0.04429,0.26134,0.43356,0.42208,0.59104,0.70421,0.53883,0.75919,0.5596,0.39327,0.15449,0.00155,0.00078
55 to 59,0,0,0,0.02497,0.14268,0.23802,0.29264,0.27946,0.29032,0.3258,0.43766,0.41609,0.36072,0.09894,0.00304,0
60 to 64,0,0,0,0.01205,0.09481,0.1432,0.14131,0.10426,0.14958,0.11813,0.15027,0.17351,0.12674,0.07224,0.00147,0
65 to 69,0,0,0,0.00487,0.01746,0.03295,0.03558,0.02783,0.03157,0.03399,0.02367,0.02516,0.03147,0.01076,0.00046,0.00028
70 to 74,0,0,0,6.00E-05,0.00085,0.00075,0.00032,0.00075,0.00082,0.00082,0.00086,0.00045,0.00046,0.00069,2.00E-05,0
75+,0,0,0,0,0.00024,0.00022,0.00028,0.00049,0.00103,0.00046,0.00074,0.00045,0.00083,0.00033,3.00E-05,0
