Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.04267,0.08019,0.07544,0.04205,0.08275,0.05265,0.06647,0.04917,0.03477,0.00996,0.0108,0.00048,0
20 to 24,0,0,0,0.11898,0.54007,0.55009,0.39319,0.32176,0.3858,0.26559,0.21862,0.15503,0.13016,0.05518,0.00113,0.00314
25 to 29,0,0,0,0.07323,0.55397,0.99144,0.69384,0.6429,0.64772,0.49181,0.49001,0.3052,0.2483,0.15142,0.00157,0.00346
30 to 34,0,0,0,0.07043,0.47694,0.73183,0.93665,0.71015,0.78809,0.65047,0.58921,0.43774,0.28216,0.14405,0.00273,0.00359
35 to 39,0,0,0,0.06458,0.5184,0.70487,0.81034,0.96805,0.832,0.70549,0.60528,0.40717,0.32895,0.05729,0.00304,0.00636
40 to 44,0,0,0,0.07329,0.39872,0.66335,0.73977,0.95938,1.03836,0.7435,0.83494,0.53025,0.36233,0.13141,0.00272,0.00212
45 to 49,0,0,0,0.05836,0.32255,0.46976,0.61005,0.67059,0.84272,0.73295,0.81347,0.4225,0.35736,0.11445,0.00229,0.00076
50 to 54,0,0,0,0.03454,0.24819,0.38915,0.37084,0.49207,0.61041,0.47579,0.62281,0.39475,0.27517,0.13209,0.0014,7.00E-04
55 to 59,0,0,0,0.01675,0.11652,0.18371,0.22109,0.20006,0.21639,0.24738,0.30873,0.25239,0.21703,0.07274,0.00237,0
60 to 64,0,0,0,0.00801,0.07679,0.10963,0.10589,0.07403,0.11058,0.08897,0.10515,0.10439,0.07564,0.05268,0.00114,0
65 to 69,0,0,0,0.00396,0.01728,0.03082,0.03258,0.02415,0.02852,0.03128,0.02024,0.0185,0.02295,0.00959,0.00044,0.00027
70 to 74,0,0,0,5.00E-05,0.00089,0.00075,0.00031,0.00069,0.00078,8.00E-04,0.00078,0.00035,0.00036,0.00065,2.00E-05,0
75+,0,0,0,0,0.00025,0.00022,0.00027,0.00045,0.00099,0.00045,0.00067,0.00035,0.00064,0.00031,3.00E-05,0
