Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0,0.02165,0.00386,0.01871,0.04282,0.02542,0.08624,0.08814,0.00181,0.00106,0,7.00E-05,0
20 to 24,0,0,0,0,0.21385,0.20501,0.28423,0.29158,0.29422,0.11592,0.08383,0.07261,0.01803,0.00188,0,0.00518
25 to 29,0,0,0,0,0.3883,0.91164,0.64122,0.54038,0.69708,0.37386,0.51892,0.23633,0.24576,0.00265,0.00273,0
30 to 34,0,0,0,0,0.21906,0.85154,0.95502,0.96516,1.12234,0.93639,0.44311,0.55936,0.21181,0.02408,0.00191,0
35 to 39,0,0,0,0,0.46309,0.69435,0.80457,1.75399,0.91548,0.87962,0.95168,0.61257,0.5175,0.00314,0.00196,0
40 to 44,0,0,0,0,0.32293,0.7775,0.72442,1.81545,1.19742,0.87255,1.10484,0.88067,0.59896,0.01407,0.00072,0
45 to 49,0,0,0,0,0.38581,0.50629,0.32421,1.07298,1.02963,0.71537,0.86096,0.70279,0.8344,0.02486,0.00446,0.00836
50 to 54,0,0,0,0,0.26108,0.3144,0.39899,0.61559,1.1211,0.84494,0.59059,0.86833,0.44074,0.03445,7.00E-04,0
55 to 59,0,0,0,0,0.17478,0.35287,0.17004,0.4083,0.33315,0.46987,0.47318,0.70275,0.35316,0.00731,0.00394,0
60 to 64,0,0,0,0,0.07145,0.1073,0.06036,0.11347,0.1647,0.11983,0.08272,0.2274,0.07734,0.00758,4.00E-04,0
65 to 69,0,0,0,0,0.00355,0.00087,0.00141,0.00464,0.00563,0.00823,0.00264,0.01485,0.00839,0.00148,4.00E-05,0
70 to 74,0,0,0,0,0,5.00E-04,0,0.00124,0.00098,0.00195,0.00034,0.00024,0.00036,0.00032,0,0
75+,0,0,0,0,0.00017,0.00084,0,0.00096,0.00055,0.00073,8.00E-04,0.00022,0.00179,4.00E-05,4.00E-05,0
