Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.46872,0.34452,0.32207,0.17199,0.34547,0.21856,0.27281,0.22098,0.18223,0.05448,0.0649,0.00157,0
20 to 24,0,0,0,0.51116,0.90755,0.9186,0.62896,0.52542,0.62647,0.42637,0.38432,0.31779,0.27847,0.12976,0.00147,0.00407
25 to 29,0,0,0,0.31266,0.92508,1.64526,1.10296,1.04327,1.04522,0.78461,0.85604,0.6217,0.52789,0.35387,0.00202,0.00446
30 to 34,0,0,0,0.28802,0.76294,1.16335,1.42629,1.10392,1.21822,0.99407,0.98604,0.85415,0.57462,0.32248,0.00337,0.00443
35 to 39,0,0,0,0.26962,0.84654,1.14383,1.25966,1.5362,1.3129,1.10061,1.03404,0.81106,0.68389,0.13093,0.00382,0.00801
40 to 44,0,0,0,0.30427,0.64745,1.07044,1.14353,1.51391,1.62937,1.15343,1.4184,1.05032,0.74907,0.29863,0.00341,0.00265
45 to 49,0,0,0,0.23954,0.51781,0.74943,0.9323,1.04617,1.30734,1.12413,1.36621,0.82737,0.7304,0.25714,0.00283,0.00094
50 to 54,0,0,0,0.15524,0.43632,0.67984,0.6206,0.84063,1.03696,0.79909,1.14544,0.84652,0.61587,0.32499,0.0019,0.00095
55 to 59,0,0,0,0.08776,0.23883,0.37421,0.4314,0.39851,0.42861,0.48443,0.66205,0.63107,0.56638,0.20866,0.00375,0
60 to 64,0,0,0,0.04383,0.16429,0.23307,0.21565,0.15391,0.22862,0.18183,0.23533,0.27243,0.20602,0.15772,0.00187,0
65 to 69,0,0,0,0.0238,0.04063,0.07204,0.07294,0.0552,0.0648,0.07028,0.04979,0.05307,0.06871,0.03157,0.00079,0.00049
70 to 74,0,0,0,0.00017,0.00116,0.00096,0.00039,0.00087,0.00098,0.00099,0.00106,0.00055,0.00059,0.00118,2.00E-05,0
75+,0,0,0,0,0.00033,0.00029,0.00033,0.00057,0.00124,0.00056,0.00091,0.00055,0.00106,0.00056,3.00E-05,0
