Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.00454,0.01096,0.0202,0.01214,0.02435,0.01539,0.01712,0.01366,0.00714,0.00204,0.00034,0.00015,0
20 to 24,0,0,0,0.01626,0.0949,0.18935,0.14593,0.12175,0.14505,0.08793,0.07808,0.04093,0.03421,0.00222,0.00047,0.00132
25 to 29,0,0,0,0.01961,0.19068,0.66854,0.50448,0.47656,0.47706,0.31897,0.34285,0.15784,0.12786,0.01192,0.00129,0.00284
30 to 34,0,0,0,0.02033,0.17702,0.5321,0.73431,0.56761,0.62586,0.45489,0.44452,0.2441,0.15666,0.01222,0.00242,0.00318
35 to 39,0,0,0,0.01901,0.19616,0.5225,0.64769,0.78886,0.67363,0.503,0.46556,0.23148,0.18621,0.00496,0.00274,0.00574
40 to 44,0,0,0,0.02143,0.1499,0.48857,0.58749,0.77677,0.83531,0.5267,0.63808,0.29952,0.20378,0.0113,0.00244,0.0019
45 to 49,0,0,0,0.01503,0.10679,0.30467,0.42662,0.47812,0.59698,0.45722,0.54744,0.21016,0.17699,0.00866,0.00181,6.00E-04
50 to 54,0,0,0,0.00959,0.08865,0.27228,0.27977,0.37848,0.46648,0.32019,0.45216,0.21183,0.14702,0.01079,0.0012,6.00E-04
55 to 59,0,0,0,0.00344,0.03076,0.095,0.12328,0.11374,0.12223,0.12305,0.16567,0.10011,0.08571,0.00439,0.00149,0
60 to 64,0,0,0,0.00164,0.02019,0.05645,0.05879,0.04191,0.06219,0.04406,0.05618,0.04123,0.02974,0.00317,0.00071,0
65 to 69,0,0,0,0.00012,0.00069,0.00243,0.00276,0.00209,0.00245,0.00237,0.00165,0.00112,0.00138,9.00E-05,4.00E-05,3.00E-05
70 to 74,0,0,0,2.00E-05,0.00037,0.00061,0.00028,0.00062,7.00E-04,0.00063,0.00066,0.00022,0.00023,6.00E-05,2.00E-05,0
75+,0,0,0,0,0.00011,0.00018,0.00024,0.00041,0.00089,0.00036,0.00057,0.00022,4.00E-04,3.00E-05,3.00E-05,0
