Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.00122,0.00711,0.01102,0.00642,0.0132,0.00824,0.01015,0.00738,0.0055,0.00121,0.00081,8.00E-05,0
20 to 24,0,0,0,0.01054,0.14803,0.24851,0.18559,0.15875,0.18678,0.12543,0.10151,0.07583,0.04898,0.01278,0.00059,0.00164
25 to 29,0,0,0,0.0107,0.25026,0.73825,0.53982,0.52283,0.51689,0.38283,0.37504,0.24605,0.15402,0.0578,0.00135,0.00299
30 to 34,0,0,0,0.01075,0.22513,0.56938,0.76142,0.60343,0.65711,0.52905,0.4712,0.36872,0.18287,0.05745,0.00246,0.00323
35 to 39,0,0,0,0.0103,0.25578,0.57323,0.68856,0.85982,0.72513,0.59977,0.50596,0.3585,0.22285,0.02389,0.00286,0.00599
40 to 44,0,0,0,0.01147,0.19304,0.52936,0.61682,0.83615,0.88802,0.62025,0.68486,0.45812,0.24086,0.05376,0.00251,0.00196
45 to 49,0,0,0,0.00891,0.15233,0.36567,0.49617,0.5701,0.70301,0.59643,0.65086,0.35606,0.23173,0.04567,0.00206,0.00069
50 to 54,0,0,0,0.00519,0.11525,0.29785,0.29656,0.41133,0.50068,0.38069,0.48997,0.32711,0.17544,0.05183,0.00124,0.00062
55 to 59,0,0,0,0.00265,0.05699,0.1481,0.18623,0.17615,0.18695,0.20848,0.25583,0.22029,0.14575,0.03006,0.00221,0
60 to 64,0,0,0,0.00098,0.0289,0.068,0.06863,0.05015,0.07351,0.05769,0.06704,0.07011,0.03908,0.01675,0.00082,0
65 to 69,0,0,0,3.00E-04,0.004,0.01177,0.01299,0.01007,0.01167,0.01248,0.00794,0.00765,0.0073,0.00188,0.00019,0.00012
70 to 74,0,0,0,1.00E-05,0.00047,0.00064,0.00028,0.00065,0.00072,0.00072,0.00069,0.00032,0.00026,0.00029,2.00E-05,0
75+,0,0,0,0,0.00013,0.00019,0.00024,0.00043,0.00091,0.00041,0.00059,0.00033,0.00046,0.00014,3.00E-05,0
