Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 to 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 to 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 to 19,0,0,0,0.04579,0.04372,0.04771,0.02715,0.05547,0.03423,0.04339,0.02976,0.02472,0.00669,0.00696,0.00049,0
20 to 24,0,0,0,0.06486,0.14959,0.17677,0.12898,0.10959,0.12746,0.08809,0.06722,0.05599,0.04444,0.01809,6.00E-04,0.00165
25 to 29,0,0,0,0.04632,0.17801,0.3696,0.26406,0.25402,0.24827,0.18924,0.1748,0.12788,0.09834,0.05758,0.00096,0.00211
30 to 34,0,0,0,0.04547,0.15646,0.27851,0.3639,0.28645,0.30837,0.25551,0.21457,0.18724,0.11408,0.05592,0.0017,0.00224
35 to 39,0,0,0,0.04329,0.17656,0.27851,0.32686,0.40541,0.338,0.28772,0.22885,0.18082,0.13809,0.02309,0.00196,0.00411
40 to 44,0,0,0,0.04766,0.13173,0.25426,0.28947,0.38975,0.40921,0.29415,0.30623,0.22844,0.14755,0.05138,0.00171,0.00133
45 to 49,0,0,0,0.0381,0.10698,0.18076,0.23964,0.27349,0.3334,0.2911,0.29952,0.18272,0.14609,0.04492,0.00144,0.00048
50 to 54,0,0,0,0.0209,0.07632,0.13882,0.13505,0.18605,0.22388,0.17518,0.21259,0.15827,0.10428,0.04807,0.00082,0.00041
55 to 59,0,0,0,0.0119,0.04208,0.07697,0.09457,0.08885,0.09322,0.10698,0.12378,0.11886,0.09661,0.03109,0.00163,0
60 to 64,0,0,0,0.00538,0.02622,0.04342,0.04281,0.03108,0.04503,0.03637,0.03985,0.04647,0.03183,0.02128,0.00074,0
65 to 69,0,0,0,0.00255,0.00566,0.01172,0.01265,0.00973,0.01115,0.01228,0.00736,0.00791,0.00927,0.00372,0.00027,0.00017
70 to 74,0,0,0,5.00E-05,0.00047,0.00046,2.00E-04,0.00045,0.00049,5.00E-04,0.00045,0.00024,0.00023,4.00E-04,2.00E-05,0
75+,0,0,0,0,0.00013,0.00014,0.00017,0.00029,0.00062,0.00028,0.00039,0.00024,0.00042,0.00019,3.00E-05,0
