Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.78664,1.0111,0.34236,0.20005,0.32741,0.72993,0.77928,0.71277,0.48396,0.29179,0.49139,0.86867,1.1414,0.8435,0.47007,0.41205
5 to 9,1.01097,8.24341,2.48886,0.46502,0.27226,0.33315,0.83676,1.01395,0.81239,0.52216,0.50188,0.87995,1.04354,1.18723,1.2213,0.55215
10 to 14,0.50117,1.36427,11.48092,3.76864,0.34206,0.19245,0.62938,0.88812,1.04995,0.68381,0.69839,0.58896,0.67263,0.98155,1.00968,0.79362
15 to 19,0.34911,0.43299,1.08312,11.45787,2.7567,0.63547,0.33475,0.55223,0.89654,1.08481,0.92391,0.81688,0.74593,0.5862,0.97301,0.75812
20 to 24,0.53745,0.27273,0.41592,1.24802,3.88521,1.98087,0.99053,0.6523,0.86992,0.94986,1.15267,0.94932,0.76134,0.64232,0.29969,0.27457
25 to 29,0.85201,0.62144,0.3527,0.57579,1.73672,3.47323,1.93658,1.40467,1.25217,1.06776,1.51622,1.55506,1.23701,0.83833,0.57867,0.23717
30 to 34,0.97579,0.96257,0.55264,0.40503,1.09936,2.0497,2.88851,1.82776,1.71088,1.26319,1.37003,1.70792,1.45997,1.1668,0.49726,0.33235
35 to 39,0.8193,0.97261,0.82172,0.64048,0.9018,1.53713,2.02383,2.73511,1.89953,1.45104,1.26103,1.24874,1.47158,1.12602,0.9098,0.51064
40 to 44,0.48935,0.7648,0.92023,0.82125,0.8467,1.27743,1.5338,2.0451,2.57497,1.54728,1.67466,1.35029,1.24509,1.05799,0.92836,0.51475
45 to 49,0.31635,0.35557,0.52974,0.75915,1.03781,1.11649,1.21903,1.35383,1.69136,1.89051,1.80489,1.17675,1.03767,0.58411,0.72483,0.52654
50 to 54,0.38408,0.2544,0.30047,0.37598,0.71746,1.10949,1.02074,1.03146,1.22758,1.2128,1.7577,1.43324,0.99166,0.62814,0.51867,0.54271
55 to 59,0.34135,0.28284,0.18374,0.16808,0.42081,0.62982,0.80335,0.64854,0.54013,0.63643,1.05611,1.43781,1.13905,0.65537,0.37459,0.28166
60 to 64,0.25318,0.2633,0.14392,0.11452,0.20156,0.33374,0.44418,0.47432,0.42864,0.33174,0.47216,0.72724,0.97534,0.64166,0.63001,0.2017
65 to 69,0.1858,0.17661,0.14335,0.08861,0.08818,0.12496,0.18628,0.26142,0.21976,0.15954,0.17211,0.28134,0.47976,0.67139,0.54718,0.29045
70 to 74,0.12404,0.09294,0.11345,0.0554,0.091,0.05734,0.08657,0.14915,0.14079,0.12576,0.11631,0.13437,0.27839,0.28949,0.61144,0.2611
75+,0.06689,0.07226,0.0935,0.04009,0.07748,0.03804,0.07885,0.05907,0.06602,0.1131,0.10435,0.09423,0.11403,0.13751,0.26569,0.19163
