Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.2942,0.83493,0.34388,0.23024,0.38278,0.60397,0.52175,0.44509,0.32045,0.16263,0.20689,0.28223,0.27031,0.16264,0.08413,0.07714
5 to 9,0.92002,6.99286,2.25072,0.48186,0.29453,0.3371,0.64853,0.67915,0.48241,0.27682,0.26655,0.31097,0.27994,0.23614,0.24587,0.11182
10 to 14,0.54362,1.24635,9.33771,3.12761,0.36531,0.19431,0.60698,0.72123,0.71302,0.38679,0.35856,0.24439,0.19653,0.21564,0.24217,0.193
15 to 19,0.43839,0.42564,0.99019,8.41397,2.33003,0.70556,0.37004,0.63205,0.74747,0.76376,0.56949,0.39379,0.273,0.1697,0.29319,0.20942
20 to 24,0.77454,0.30045,0.44582,1.50763,3.66975,2.1935,1.09874,0.77684,0.98913,0.87307,0.88127,0.63527,0.468,0.2734,0.12857,0.10651
25 to 29,0.93248,0.74113,0.40817,0.7556,2.08135,3.21278,1.93383,1.48626,1.31735,1.05053,1.32297,1.14585,0.82589,0.48453,0.2243,0.09928
30 to 34,0.93829,0.90076,0.64453,0.56878,1.37462,2.12849,2.47685,1.84582,1.71165,1.24511,1.277,1.3858,1.00817,0.65538,0.24373,0.18105
35 to 39,0.752,0.80767,0.80413,0.82867,1.18812,1.67662,2.01458,2.44276,1.91783,1.42556,1.23503,1.1213,1.12101,0.60657,0.43203,0.25785
40 to 44,0.544,0.67195,0.81605,0.90072,1.06086,1.40275,1.56408,2.11565,2.29092,1.51933,1.63036,1.2514,0.99694,0.66419,0.51892,0.33024
45 to 49,0.38939,0.37742,0.54264,0.81239,1.14651,1.19993,1.25074,1.41167,1.72491,1.57633,1.72768,1.04705,0.88707,0.43319,0.51479,0.4287
50 to 54,0.4565,0.29214,0.3346,0.4374,0.79909,1.13702,1.04885,1.08216,1.25784,1.17849,1.42569,1.24718,0.79692,0.46635,0.33276,0.38238
55 to 59,0.41354,0.3185,0.2163,0.21946,0.4955,0.64506,0.81152,0.67883,0.54052,0.6177,0.96885,1.05082,0.90237,0.46545,0.23212,0.19311
60 to 64,0.29093,0.29548,0.16983,0.15453,0.24886,0.34144,0.44708,0.50362,0.4273,0.31721,0.43161,0.61597,0.59551,0.47241,0.41894,0.13281
65 to 69,0.21642,0.18775,0.16628,0.11615,0.11154,0.13918,0.19577,0.28375,0.2365,0.161,0.16148,0.23774,0.36452,0.34907,0.37469,0.20118
70 to 74,0.14243,0.10222,0.13151,0.07348,0.10921,0.06132,0.09054,0.15758,0.14854,0.13293,0.11311,0.11726,0.21938,0.21113,0.36416,0.20935
75+,0.07082,0.07076,0.10057,0.04695,0.08756,0.03528,0.07808,0.06126,0.06976,0.11399,0.0938,0.07957,0.09032,0.10388,0.1946,0.13046
