Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.05167,0.86182,0.24795,0.14966,0.23863,0.54765,0.7969,0.84003,0.46599,0.18978,0.27318,0.47199,0.62089,0.45978,0.2703,0.24698
5 to 9,0.94591,8.47379,2.44274,0.39975,0.28408,0.27228,0.7485,1.05977,0.84781,0.38781,0.34674,0.50592,0.56082,0.64008,0.69768,0.32948
10 to 14,0.39171,1.17728,12.2024,3.73125,0.35665,0.17478,0.48977,0.76192,0.99609,0.51457,0.52862,0.37558,0.37,0.52218,0.62204,0.48025
15 to 19,0.25562,0.30079,0.91725,11.29223,2.81122,0.62531,0.2901,0.40482,0.70577,0.89176,0.74007,0.52874,0.4366,0.31836,0.61312,0.443
20 to 24,0.32767,0.208,0.33472,1.15111,4.71326,2.22354,1.06997,0.73393,0.91366,0.91041,1.06523,0.80844,0.6037,0.39582,0.2304,0.18547
25 to 29,0.53815,0.37718,0.25992,0.49537,1.95507,4.32437,2.09647,1.59899,1.42925,1.13738,1.47956,1.41134,1.05242,0.54263,0.4199,0.17717
30 to 34,0.84869,0.65284,0.37457,0.33951,1.26364,2.31612,3.60374,2.04328,1.8845,1.39265,1.36985,1.56832,1.28629,0.8321,0.40565,0.27778
35 to 39,0.91471,0.82506,0.64848,0.50919,1.08287,1.76842,2.28788,3.54597,2.16886,1.61532,1.36035,1.2283,1.28523,0.77346,0.66591,0.36445
40 to 44,0.6279,0.894,0.97673,0.76461,0.98685,1.49,1.72603,2.43041,3.21931,1.73221,1.81764,1.41164,1.12566,0.71222,0.7406,0.38166
45 to 49,0.28069,0.35479,0.53793,0.89851,1.41503,1.33191,1.36907,1.57954,1.95842,2.29314,1.97207,1.22234,0.99283,0.41262,0.56287,0.41443
50 to 54,0.29938,0.20141,0.31082,0.49702,1.04321,1.43967,1.09091,1.15311,1.37584,1.3154,2.02371,1.41546,0.88966,0.44796,0.43277,0.4128
55 to 59,0.26485,0.20088,0.15623,0.16781,0.58821,0.91417,0.9112,0.68956,0.58918,0.6869,1.06631,1.61193,1.06712,0.54308,0.34691,0.25395
60 to 64,0.20892,0.19129,0.11176,0.09482,0.23547,0.42905,0.54621,0.50268,0.42198,0.32535,0.44848,0.68153,1.18531,0.56163,0.65427,0.20371
65 to 69,0.16094,0.13449,0.11285,0.07465,0.0868,0.12485,0.18959,0.2631,0.1964,0.13157,0.15202,0.25311,0.44384,0.86409,0.57123,0.27577
70 to 74,0.10561,0.07051,0.09654,0.05025,0.10129,0.06256,0.09738,0.15607,0.14457,0.12051,0.11199,0.13042,0.28061,0.27745,0.80501,0.25741
75+,0.06147,0.06067,0.08551,0.04033,0.08869,0.05218,0.09193,0.06778,0.07548,0.11832,0.11158,0.10411,0.1225,0.13947,0.28368,0.23747
