Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.54749,1.13237,0.54504,0.30852,0.36514,0.63203,0.58701,0.53859,0.30437,0.17661,0.20424,0.31017,0.32163,0.1875,0.03775,0.12304
5 to 9,1.2512,5.46808,2.48057,0.76154,0.36625,0.32558,0.64404,0.76127,0.53651,0.38658,0.29457,0.38305,0.4951,0.41094,0.22283,0.24139
10 to 14,0.78403,1.72081,8.62392,3.02248,0.50652,0.23221,0.59048,0.71134,0.66259,0.51812,0.47471,0.32248,0.39068,0.48202,0.26468,0.38461
15 to 19,0.53035,0.71426,1.31022,8.00386,2.99551,0.95237,0.47159,0.7657,0.71769,0.90126,0.75635,0.6091,0.47324,0.38886,0.26745,0.52625
20 to 24,0.7174,0.37868,0.65381,2.23177,4.60082,2.28736,1.06651,0.67944,0.75614,0.684,0.74207,0.56875,0.4972,0.36781,0.06615,0.15137
25 to 29,1.15189,0.9093,0.61811,1.21941,2.50585,3.21392,1.82687,1.31835,1.08469,0.88331,1.0011,0.88939,0.73046,0.55909,0.1716,0.13724
30 to 34,1.17013,1.0508,0.7837,0.87177,1.60207,2.12572,2.16543,1.59895,1.39468,1.02785,1.01246,1.06853,0.83546,0.69633,0.13827,0.23028
35 to 39,1.00054,1.06176,0.97416,1.13178,1.2857,1.65957,1.84258,2.00382,1.50644,1.20719,0.98342,0.85214,0.87119,0.51722,0.22663,0.41439
40 to 44,0.62874,0.83951,1.00552,1.12502,1.06508,1.338,1.39649,1.75033,1.71217,1.17552,1.24365,0.9523,0.76159,0.49031,0.19853,0.18528
45 to 49,0.43989,0.44003,0.66911,1.01262,1.13889,1.13048,1.13082,1.21732,1.34107,1.1674,1.26203,0.84592,0.72669,0.36828,0.13654,0.211
50 to 54,0.53225,0.36079,0.46098,0.58291,0.81657,1.01533,0.92622,0.92823,1.00044,0.86045,1.02321,0.88722,0.73055,0.43698,0.16693,0.3105
55 to 59,0.48223,0.37379,0.29292,0.29811,0.52984,0.58243,0.70151,0.56471,0.44173,0.51506,0.69921,0.6696,0.60833,0.37389,0.12302,0.15764
60 to 64,0.36916,0.41689,0.25708,0.23583,0.29012,0.32978,0.39796,0.40578,0.33628,0.26168,0.34257,0.36656,0.33007,0.29411,0.18957,0.09827
65 to 69,0.2908,0.26873,0.25203,0.18416,0.15241,0.16173,0.20055,0.23894,0.17352,0.13796,0.1117,0.16411,0.19813,0.15771,0.14951,0.17649
70 to 74,0.19217,0.1321,0.17997,0.09763,0.14167,0.06757,0.07857,0.11785,0.08747,0.06557,0.05535,0.05085,0.09245,0.08249,0.12336,0.0952
75+,0.0976,0.10083,0.15121,0.06779,0.11773,0.03839,0.07466,0.05086,0.04088,0.06092,0.0486,0.04155,0.04008,0.05067,0.07833,0.04034
