Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,3.36168,1.35824,0.31694,0.16594,0.36214,1.01255,0.97259,0.77086,0.26638,0.06154,0.07383,0.15621,0.15591,0.14952,0.2079,0.49383
5 to 9,1.54372,10.07905,2.41947,0.2042,0.22741,0.32395,0.73237,0.97708,0.59097,0.2603,0.09765,0.1523,0.02283,0.09406,0,0.05685
10 to 14,0.48168,1.33852,12.27931,3.90005,0.2313,0.03616,0.30119,0.91552,0.98079,0.69664,0.32051,0.15814,0.02997,0.08124,0,0.05136
15 to 19,0.13202,0.19133,0.57289,9.32294,1.99369,0.3644,0.09421,0.24952,0.52691,0.67414,0.58238,0.23433,0.04071,0.06391,0.02891,0.08042
20 to 24,0.1173,0.2425,0.20664,0.72159,4.16208,1.90454,1.00448,0.63888,0.58634,0.76445,0.7625,0.36941,0.29855,0.22761,0.14296,0
25 to 29,0.54754,0.2877,0.19029,0.33705,1.25792,4.22023,1.55006,1.45383,0.99865,0.7091,0.89064,0.92144,0.49084,0.36625,0.23769,0.19429
30 to 34,0.85396,0.61056,0.34237,0.35897,0.75258,2.24113,3.26697,1.70119,0.97038,1.29744,1.08415,1.57452,0.68066,0.39119,0.09057,0
35 to 39,0.71264,0.84996,0.60239,0.37831,0.39657,2.49898,1.78191,3.25038,1.39379,1.05826,0.71335,1.17131,1.03697,0.3738,0.16614,0.19105
40 to 44,0.441,0.72103,0.96192,0.87829,0.63528,1.97036,1.42456,1.89096,3.62188,1.97447,1.72093,1.70851,0.86476,0.35983,0.50098,0.21047
45 to 49,0.31297,0.28766,0.60327,0.98357,0.90695,1.56102,1.55507,1.33214,1.89461,2.16919,2.20553,1.19546,0.80478,0.31048,0.28809,0
50 to 54,0.3204,0.22365,0.26934,0.39036,0.91261,1.55838,1.61983,1.5528,2.15082,1.55555,3.0402,1.71508,1.2369,0.40864,0.09489,0.41108
55 to 59,0.19346,0.2344,0.13322,0.19306,0.39401,0.52053,1.41693,0.60022,0.58109,0.69207,1.67292,2.62693,0.94235,0.57183,0.24487,0.07085
60 to 64,0.18862,0.24319,0.06481,0.03614,0.03608,0.3604,0.39873,0.40092,0.14833,0.35569,0.47828,0.6956,2.22764,0.61918,0.52629,0.43531
65 to 69,0.13311,0.12349,0.06262,0.03296,0.04043,0.09115,0.09119,0.0995,0.1629,0.15423,0.10876,0.1248,0.53619,1.51002,1.04214,0.57494
70 to 74,0.07374,0.01676,0.0633,0.03187,0.03781,0.0296,0.03001,0.04219,0.04243,0.07589,0.02743,0.06956,0.16705,0.43123,1.37583,0.48206
75+,0.01334,0.06211,0.07977,0.01655,0.04033,0.0093,0.06561,0.00558,0.08131,0.10986,0.04117,0.07436,0.04095,0.24533,0.39717,0.32155
