Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.00335,0.83413,0.18923,0.11643,0.24132,0.63284,0.84228,0.917,0.57103,0.33807,0.55638,1.07316,1.35303,0.91562,0.46745,0.32508
5 to 9,0.96815,8.08353,2.14831,0.27747,0.1989,0.2802,0.79837,1.24528,1.0037,0.63515,0.57475,1.0719,1.24517,1.29197,1.2223,0.40962
10 to 14,0.39779,0.98358,10.91738,3.22697,0.23582,0.14775,0.53308,0.94949,1.22282,0.81993,0.78259,0.6875,0.77201,0.98734,0.93537,0.54685
15 to 19,0.25531,0.23367,0.70092,9.53478,2.10821,0.49951,0.27825,0.50585,0.85024,1.12843,0.9625,0.86662,0.76975,0.53659,0.83395,0.43996
20 to 24,0.3385,0.15122,0.21691,0.71087,3.04746,1.79362,0.94902,0.69292,0.88358,0.94612,1.15418,1.01322,0.79154,0.57053,0.28091,0.17061
25 to 29,0.55155,0.29764,0.17404,0.32184,1.46649,3.44807,1.90952,1.51917,1.35394,1.13775,1.56829,1.64587,1.26741,0.75559,0.5359,0.17155
30 to 34,0.77639,0.48123,0.25957,0.23401,0.96789,1.96729,2.90613,1.88698,1.74685,1.33117,1.39827,1.75676,1.4568,1.09454,0.50458,0.27686
35 to 39,0.72206,0.59068,0.42344,0.33976,0.84468,1.52242,1.95914,3.03831,1.95786,1.519,1.32029,1.3156,1.48542,1.05125,0.86807,0.36942
40 to 44,0.41156,0.51632,0.55954,0.45109,0.73637,1.28273,1.48058,2.11252,2.80667,1.6361,1.72939,1.41327,1.25029,0.98388,0.92294,0.3668
45 to 49,0.24069,0.22506,0.3282,0.46448,0.8779,1.07128,1.1913,1.39237,1.75229,2.1487,1.90919,1.25567,1.05564,0.57175,0.70912,0.38977
50 to 54,0.2794,0.14394,0.17451,0.23829,0.62777,1.03723,0.95359,1.04756,1.2356,1.2735,1.96636,1.59272,1.05513,0.6573,0.5763,0.3904
55 to 59,0.24124,0.14437,0.1001,0.09755,0.3439,0.56299,0.70208,0.61585,0.5082,0.62192,1.06509,1.77343,1.24871,0.73288,0.46338,0.24648
60 to 64,0.18184,0.13962,0.07699,0.06234,0.15629,0.27398,0.36511,0.43708,0.38157,0.31363,0.46999,0.83833,1.43751,0.75646,0.82388,0.19804
65 to 69,0.1414,0.0981,0.07554,0.04636,0.05877,0.08914,0.14667,0.24523,0.20286,0.14996,0.18214,0.36101,0.64767,1.04077,0.7543,0.28033
70 to 74,0.0953,0.05118,0.05926,0.02866,0.06348,0.04558,0.07462,0.14858,0.14189,0.13292,0.13264,0.18322,0.40164,0.3912,0.92865,0.2519
75+,0.05174,0.03942,0.05023,0.01975,0.05141,0.02937,0.06911,0.06053,0.06636,0.11648,0.11181,0.12731,0.16762,0.1871,0.34557,0.2237
