Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.33676,0.90578,0.39991,0.22264,0.33118,0.68157,0.71563,0.63914,0.3844,0.16396,0.24459,0.37746,0.45288,0.24097,0.13955,0.14214
5 to 9,0.98884,5.8706,2.26811,0.53318,0.27804,0.27333,0.72042,0.87506,0.64571,0.30946,0.27489,0.32192,0.35031,0.30322,0.3605,0.19196
10 to 14,0.60559,1.34828,10.59007,3.47626,0.39891,0.16693,0.49684,0.70232,0.81684,0.44899,0.43085,0.25917,0.23244,0.23323,0.29886,0.27164
15 to 19,0.40222,0.48079,1.04575,9.25051,2.61049,0.67879,0.33014,0.5043,0.71853,0.80275,0.65752,0.42138,0.29968,0.15997,0.30434,0.2799
20 to 24,0.61729,0.28709,0.48593,1.55239,3.72677,2.0032,0.98491,0.70085,0.87518,0.81851,0.92446,0.6425,0.47807,0.27862,0.10915,0.09594
25 to 29,1.01523,0.64868,0.39471,0.77645,2.0312,2.79478,1.73039,1.31819,1.14776,0.93703,1.26461,1.13233,0.86637,0.52178,0.23772,0.09526
30 to 34,1.24706,1.04941,0.59581,0.55102,1.29211,1.88191,2.1792,1.72599,1.54455,1.11798,1.17192,1.31867,1.10304,0.7798,0.25115,0.17684
35 to 39,1.07231,1.11265,0.8931,0.79819,1.07388,1.40411,1.8077,2.29263,1.80996,1.32706,1.10816,1.01145,1.20374,0.713,0.52369,0.37695
40 to 44,0.70158,0.96152,1.01718,0.97049,0.99859,1.17356,1.35712,1.98448,2.17918,1.47558,1.51545,1.13197,0.98974,0.80115,0.61056,0.47747
45 to 49,0.43652,0.45928,0.64213,0.89389,1.15813,1.0543,1.08397,1.31026,1.65021,1.52676,1.66815,0.97921,0.85456,0.43526,0.45018,0.40833
50 to 54,0.51982,0.31842,0.37687,0.4923,0.83041,1.06614,0.94597,0.99225,1.17953,1.16095,1.39332,1.17993,0.78636,0.46972,0.25508,0.32629
55 to 59,0.50196,0.35248,0.23075,0.23236,0.5173,0.62061,0.75296,0.64632,0.51283,0.59701,0.94492,0.97632,0.90851,0.43887,0.18501,0.14574
60 to 64,0.35769,0.34241,0.18278,0.15827,0.25148,0.33777,0.44172,0.52254,0.42787,0.31932,0.42717,0.59261,0.58056,0.4545,0.33211,0.099
65 to 69,0.2535,0.21997,0.1713,0.11541,0.1173,0.14117,0.19813,0.29669,0.24826,0.17292,0.16478,0.21888,0.35496,0.27555,0.27045,0.14945
70 to 74,0.1657,0.11748,0.1355,0.07208,0.10686,0.05523,0.08257,0.16041,0.14816,0.12415,0.10121,0.102,0.19296,0.15633,0.25263,0.14757
75+,0.08172,0.08308,0.10633,0.04652,0.08466,0.03053,0.07083,0.06268,0.06699,0.10097,0.07689,0.06214,0.07866,0.07651,0.12931,0.07596
