Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,3.28882,1.43599,0.41179,0.21024,0.2705,0.52668,0.66117,0.66889,0.41919,0.22993,0.2928,0.51326,0.7032,0.63642,0.4084,0.31166
5 to 9,1.63519,10.37774,3.06681,0.51713,0.2534,0.24694,0.67398,0.91752,0.76356,0.43803,0.40276,0.59194,0.6514,0.89998,1.04778,0.41145
10 to 14,0.75337,1.86245,14.13845,4.10425,0.32399,0.1421,0.46011,0.72466,0.95125,0.57543,0.57405,0.43168,0.42354,0.73802,0.88008,0.59271
15 to 19,0.48551,0.55373,1.33085,11.92592,2.57656,0.58092,0.30863,0.51889,0.81164,1.02302,0.79514,0.62427,0.5241,0.45254,0.86345,0.55557
20 to 24,0.69564,0.33929,0.50043,1.52626,4.16271,1.80382,0.93442,0.67757,0.86963,0.85793,0.90877,0.7185,0.60747,0.52483,0.28167,0.21141
25 to 29,1.14263,0.74851,0.41508,0.71045,1.80525,3.17711,1.65925,1.30755,1.18946,0.97217,1.22037,1.15307,0.96239,0.69557,0.5221,0.1877
30 to 34,1.58886,1.20945,0.60965,0.51802,1.19228,1.79015,2.69779,1.68599,1.59672,1.19416,1.17805,1.31272,1.13688,0.97249,0.47336,0.2763
35 to 39,1.52179,1.44132,1.0233,0.77081,1.04158,1.40182,1.83526,2.79536,1.84716,1.40488,1.17562,1.05959,1.19196,0.8982,0.82076,0.39613
40 to 44,0.96266,1.3706,1.39135,1.04257,0.93246,1.18443,1.39722,2.00271,2.66288,1.50916,1.57072,1.21301,1.06578,0.877,0.85976,0.39645
45 to 49,0.50122,0.56555,0.77327,1.06926,1.18429,1.02283,1.12429,1.32549,1.67871,1.94571,1.68829,1.04902,0.94616,0.51163,0.66896,0.41404
50 to 54,0.56258,0.35883,0.43614,0.57261,0.85685,1.03541,0.90483,1.00497,1.21472,1.17197,1.67046,1.22682,0.8704,0.56316,0.50369,0.42609
55 to 59,0.49385,0.36037,0.23911,0.22811,0.49481,0.61643,0.70946,0.59841,0.523,0.61699,0.93237,1.26083,0.97922,0.60208,0.38666,0.23891
60 to 64,0.37865,0.34166,0.1759,0.13821,0.23226,0.32275,0.40721,0.42194,0.39427,0.30965,0.40301,0.58173,0.92332,0.6013,0.68244,0.18441
65 to 69,0.29371,0.23937,0.17676,0.10199,0.08934,0.10658,0.15703,0.22446,0.18977,0.13734,0.13239,0.20641,0.38102,0.77132,0.61164,0.25886
70 to 74,0.1966,0.125,0.14255,0.06351,0.09002,0.04626,0.07122,0.12637,0.12216,0.10545,0.0859,0.0972,0.21994,0.27787,0.75749,0.23381
75+,0.10996,0.1002,0.12215,0.0462,0.07586,0.03269,0.06622,0.0522,0.05933,0.09598,0.07778,0.06984,0.09349,0.13391,0.28934,0.19656
