Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.15359,1.57052,0.7535,0.42785,0.55282,0.95823,0.92736,0.86725,0.52565,0.34325,0.4768,0.86189,0.81396,0.57608,0.19258,0.20901
5 to 9,1.7681,7.17974,2.95822,0.90054,0.44228,0.47527,1.04862,1.2309,0.87385,0.63016,0.53511,0.91683,0.75534,0.82513,0.5147,0.26761
10 to 14,1.06319,2.23799,9.30517,3.37191,0.5291,0.26225,0.76449,1.01678,0.92693,0.70819,0.68042,0.58511,0.46401,0.64162,0.39191,0.38204
15 to 19,0.72585,0.9035,1.59481,8.38103,2.56584,0.71228,0.35923,0.60939,0.76845,0.96295,0.77323,0.75864,0.52811,0.38056,0.37255,0.35856
20 to 24,1.09935,0.51854,0.75808,1.91144,3.656,1.66582,0.74019,0.42558,0.49892,0.61721,0.66193,0.61976,0.38192,0.36443,0.09588,0.11696
25 to 29,1.54177,1.1794,0.66548,0.95351,1.77484,2.11203,1.29142,0.79657,0.59832,0.53455,0.69929,0.84221,0.53173,0.40172,0.18599,0.09692
30 to 34,1.63088,1.46414,0.90259,0.63157,1.02334,1.38543,1.64928,1.1753,0.97862,0.67116,0.68603,0.86724,0.63892,0.5599,0.13892,0.11133
35 to 39,1.39013,1.48656,1.1848,0.93483,0.72568,0.95436,1.33936,1.54088,1.12591,0.83484,0.65376,0.63934,0.65623,0.4998,0.24915,0.18857
40 to 44,0.92172,1.25012,1.29659,1.03525,0.69559,0.74986,1.00187,1.31792,1.35939,0.88881,0.91263,0.69664,0.56863,0.47467,0.22723,0.16287
45 to 49,0.63012,0.63251,0.82416,0.95728,0.86165,0.70235,0.76947,0.85558,0.98943,0.90261,0.93659,0.6294,0.47976,0.2603,0.19135,0.16624
50 to 54,0.76186,0.49247,0.52904,0.52381,0.58321,0.69218,0.70069,0.65691,0.74176,0.70378,0.79125,0.74109,0.47332,0.31036,0.15447,0.18937
55 to 59,0.7031,0.53967,0.33897,0.25755,0.39303,0.40563,0.54805,0.43201,0.31472,0.36185,0.54009,0.5516,0.46998,0.29361,0.10317,0.08659
60 to 64,0.51244,0.51576,0.2664,0.1905,0.17326,0.2055,0.30977,0.34822,0.26411,0.19406,0.23431,0.33722,0.27996,0.23893,0.15525,0.05609
65 to 69,0.39614,0.34819,0.26335,0.1505,0.1081,0.10758,0.15791,0.20995,0.14956,0.10218,0.08735,0.1463,0.17819,0.15559,0.11771,0.08183
70 to 74,0.26233,0.1801,0.20078,0.09466,0.11926,0.05546,0.07619,0.11848,0.08843,0.07401,0.05431,0.05934,0.09525,0.09366,0.09752,0.0665
75+,0.1315,0.13199,0.16491,0.06296,0.0968,0.03284,0.06751,0.04705,0.04091,0.06299,0.04439,0.0407,0.03706,0.04185,0.06215,0.03281
