Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.13223,1.43913,0.81599,0.5105,0.64887,0.95127,0.79843,0.76588,0.55005,0.32483,0.39561,0.55686,0.64921,0.43787,0.29009,0.22747
5 to 9,1.68478,8.07936,3.21008,1.02437,0.51822,0.46793,0.86524,0.99326,0.83992,0.5683,0.44022,0.64028,0.64003,0.6484,0.76469,0.28552
10 to 14,1.01724,2.05186,9.88917,3.29384,0.61572,0.26977,0.65069,0.8142,0.85121,0.61789,0.5678,0.41997,0.40552,0.53229,0.59581,0.41778
15 to 19,0.68707,0.78429,1.59917,8.21768,2.99526,0.8636,0.3931,0.65786,0.76662,0.89263,0.67752,0.57291,0.44923,0.35421,0.55019,0.37536
20 to 24,1.03117,0.46392,0.8019,2.38256,4.54567,2.08515,0.93978,0.60743,0.75886,0.69964,0.70126,0.55805,0.45983,0.37483,0.12943,0.1255
25 to 29,1.45946,1.03974,0.70988,1.25308,2.45501,3.06586,1.72705,1.25787,1.13418,0.90422,1.06455,0.91963,0.78724,0.65625,0.22598,0.0846
30 to 34,1.58553,1.31021,0.95565,0.87626,1.53042,2.02651,2.13874,1.52597,1.4779,1.07726,1.08126,1.08305,0.88104,0.74932,0.17976,0.1056
35 to 39,1.36047,1.33282,1.23919,1.20312,1.2165,1.57707,1.76682,2.02721,1.62401,1.25497,1.07591,0.91646,0.96221,0.51843,0.31755,0.17445
40 to 44,0.914,1.13838,1.37056,1.33196,1.08673,1.31972,1.41263,1.80683,1.94103,1.29963,1.45647,1.09203,0.94278,0.67722,0.30688,0.1612
45 to 49,0.62579,0.57817,0.87745,1.2192,1.22969,1.12772,1.14551,1.2482,1.514,1.34618,1.51511,0.9583,0.90551,0.50071,0.26628,0.17656
50 to 54,0.74876,0.44702,0.56213,0.66783,0.86539,1.06759,0.92407,0.97962,1.16107,1.01649,1.26972,1.04812,0.82306,0.60055,0.22993,0.20941
55 to 59,0.68467,0.48958,0.36073,0.3358,0.56124,0.61541,0.70235,0.57543,0.50414,0.5776,0.83148,0.79787,0.80374,0.46128,0.14315,0.09976
60 to 64,0.50279,0.47253,0.28496,0.24543,0.29218,0.36455,0.40572,0.38894,0.38983,0.29016,0.36382,0.45023,0.40285,0.39635,0.19885,0.05933
65 to 69,0.39202,0.31895,0.28112,0.19362,0.15751,0.17982,0.20983,0.23016,0.20529,0.16183,0.12799,0.1593,0.22961,0.18872,0.15359,0.08417
70 to 74,0.26235,0.16603,0.21546,0.11032,0.13938,0.05697,0.0666,0.0998,0.0866,0.06232,0.04791,0.04195,0.07393,0.07805,0.12166,0.068
75+,0.13098,0.12225,0.17749,0.07323,0.11296,0.03297,0.05946,0.03973,0.03996,0.05225,0.03836,0.02896,0.0293,0.0328,0.08116,0.03101
