Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.47805,0.29077,0.15165,0.06063,0.10887,0.48295,0.66426,0.52138,0.26771,0.18791,0.28295,0.63899,0.96839,0.81128,0.43507,0.54485
5 to 9,0.41087,0.71301,0.35857,0.10551,0.05737,0.15706,0.66404,0.79575,0.53522,0.35707,0.22552,0.60796,0.86585,1.14555,1.13615,0.74004
10 to 14,0.21417,0.36156,1.15829,0.31392,0.07585,0.05924,0.30233,0.66116,0.75478,0.56042,0.34879,0.37772,0.55627,0.96851,0.93612,1.06307
15 to 19,0.11117,0.15638,0.38858,0.83838,0.32263,0.1199,0.06996,0.28237,0.56611,0.87335,0.48748,0.54737,0.5491,0.556,0.8777,1.03095
20 to 24,0.18487,0.0594,0.08318,0.1853,0.78674,0.30676,0.10971,0.05706,0.16472,0.53695,0.51257,0.50891,0.38409,0.46854,0.19522,0.30996
25 to 29,0.38519,0.19851,0.05862,0.05262,0.19558,0.99787,0.29999,0.06958,0.061,0.14751,0.34269,0.59523,0.5029,0.46988,0.40125,0.22818
30 to 34,0.55218,0.50463,0.15979,0.02882,0.0449,0.23906,0.96439,0.19611,0.10784,0.05959,0.14831,0.47235,0.63196,0.71443,0.30396,0.25825
35 to 39,0.42605,0.54365,0.39231,0.14525,0.0215,0.04777,0.2534,0.86966,0.19415,0.12355,0.06837,0.17287,0.46836,0.76904,0.63066,0.53821
40 to 44,0.1553,0.33904,0.46712,0.2911,0.10061,0.02521,0.08347,0.17387,0.74292,0.19069,0.09694,0.08123,0.2481,0.61618,0.57196,0.55052
45 to 49,0.06515,0.11302,0.21215,0.33311,0.33604,0.07893,0.03047,0.04996,0.16051,0.77117,0.17998,0.18219,0.11004,0.22675,0.45206,0.50114
50 to 54,0.06705,0.04689,0.05988,0.13544,0.19305,0.23709,0.05813,0.03172,0.04564,0.17633,0.55794,0.29726,0.19156,0.20423,0.29379,0.62289
55 to 59,0.05661,0.0475,0.02103,0.0355,0.08052,0.11212,0.0843,0.02973,0.01062,0.03922,0.14497,0.70871,0.28657,0.24647,0.14343,0.23407
60 to 64,0.03576,0.03134,0.01617,0.01306,0.01372,0.04818,0.07738,0.05065,0.03416,0.01915,0.03123,0.15906,0.75019,0.2485,0.24044,0.09933
65 to 69,0.01231,0.01442,0.01462,0.0088,0.0033,0.01269,0.01433,0.0252,0.03074,0.01648,0.01108,0.05736,0.1534,0.70674,0.23847,0.16773
70 to 74,0.00486,0.00687,0.01136,0.00537,0.00308,0.00217,0.00717,0.01242,0.01208,0.01372,0.01056,0.01085,0.03941,0.1422,0.42704,0.13614
75+,0.00632,0.00579,0.0052,0.00354,0.00354,0.0065,0.00452,0.00383,0.00902,0.01928,0.02648,0.02418,0.00841,0.02502,0.15088,0.17526
