Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.54292,0.24305,0.16204,0.0775,0.10394,0.25398,0.45746,0.63158,0.40019,0.21339,0.38278,0.61929,0.924,0.68926,0.51255,0.46289
5 to 9,0.33871,0.75584,0.44974,0.14314,0.08554,0.1146,0.44448,0.8374,0.75132,0.44112,0.32272,0.61162,0.8264,0.96342,1.33482,0.63055
10 to 14,0.17349,0.34502,1.18551,0.35423,0.09601,0.05316,0.21578,0.62293,0.83676,0.60461,0.52291,0.38946,0.52709,0.80731,1.10895,0.91445
15 to 19,0.09268,0.14165,0.36953,0.97295,0.36394,0.11483,0.06306,0.27136,0.57376,0.86367,0.6887,0.55162,0.52973,0.46063,0.99728,0.88103
20 to 24,0.12432,0.06407,0.09687,0.23704,0.88361,0.26565,0.09386,0.06161,0.18728,0.52646,0.68027,0.51622,0.39413,0.40161,0.2365,0.26708
25 to 29,0.2013,0.15331,0.06624,0.07425,0.22187,0.70632,0.22398,0.07183,0.07511,0.17289,0.43471,0.64622,0.52962,0.40855,0.48565,0.19245
30 to 34,0.33027,0.30453,0.1366,0.04048,0.05307,0.17353,0.71875,0.19985,0.12798,0.06546,0.1999,0.48718,0.67198,0.68006,0.39554,0.22736
35 to 39,0.38147,0.39568,0.32588,0.14087,0.02289,0.03341,0.19711,0.87979,0.22921,0.13072,0.09035,0.16501,0.47026,0.70356,0.76036,0.45972
40 to 44,0.23927,0.42045,0.51795,0.30689,0.1053,0.02228,0.07336,0.21781,0.79299,0.20004,0.14257,0.08892,0.23552,0.56205,0.72689,0.47897
45 to 49,0.06139,0.14705,0.24752,0.40851,0.34809,0.09584,0.02436,0.05438,0.18041,0.72851,0.24942,0.20189,0.1156,0.18295,0.55256,0.458
50 to 54,0.05251,0.05519,0.11223,0.24861,0.27276,0.24331,0.05369,0.03354,0.0644,0.21229,0.6761,0.29149,0.18075,0.1706,0.37976,0.54247
55 to 59,0.04131,0.04878,0.03365,0.05953,0.12973,0.18595,0.10784,0.03141,0.01619,0.05296,0.19507,0.62354,0.30763,0.23347,0.17574,0.21007
60 to 64,0.035,0.03158,0.0184,0.01989,0.02822,0.08049,0.11458,0.07663,0.04364,0.02513,0.04195,0.17113,0.65984,0.23281,0.30949,0.09184
65 to 69,0.01583,0.01581,0.01721,0.01133,0.00589,0.01944,0.02575,0.04415,0.04579,0.01797,0.01531,0.06482,0.16105,0.58803,0.23676,0.14301
70 to 74,0.00531,0.00739,0.01772,0.00714,0.00671,0.00363,0.01259,0.01828,0.0187,0.017,0.01747,0.01178,0.04417,0.10627,0.49756,0.11286
75+,0.00893,0.01013,0.01334,0.00922,0.00887,0.01148,0.00966,0.00862,0.01749,0.03608,0.04818,0.0364,0.01447,0.02539,0.19037,0.13688
