Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.45511,0.44778,0.24083,0.10299,0.17657,0.56225,0.67053,0.58561,0.39619,0.26321,0.44155,0.93806,1.11742,0.74549,0.32168,0.28913
5 to 9,0.70432,0.61836,0.49642,0.16085,0.09655,0.24881,0.77074,0.84487,0.66277,0.46828,0.35301,0.90472,1.03471,1.06494,0.85792,0.39642
10 to 14,0.47086,0.62285,0.75062,0.31618,0.10515,0.10725,0.47746,0.76659,0.76511,0.60553,0.51252,0.56509,0.66972,0.91223,0.68215,0.59091
15 to 19,0.29645,0.32635,0.42915,0.48782,0.31594,0.20203,0.13542,0.40271,0.61719,0.79147,0.61114,0.74831,0.64531,0.50201,0.61552,0.55555
20 to 24,0.48557,0.1425,0.12905,0.19698,0.42034,0.38843,0.18525,0.09773,0.22783,0.48996,0.56544,0.6332,0.43893,0.44361,0.13655,0.16931
25 to 29,0.6568,0.42715,0.10951,0.08531,0.22773,0.5257,0.37345,0.11371,0.09705,0.19017,0.3902,0.75519,0.54126,0.40627,0.28239,0.11804
30 to 34,0.63619,0.60505,0.22314,0.04973,0.0628,0.23553,0.46845,0.21521,0.15283,0.07943,0.20664,0.59725,0.64409,0.62926,0.22023,0.13953
35 to 39,0.50837,0.54073,0.35547,0.1559,0.03257,0.06826,0.25422,0.40585,0.21471,0.14742,0.09924,0.2374,0.51569,0.68631,0.44146,0.28658
40 to 44,0.26615,0.38924,0.34322,0.20998,0.0942,0.03698,0.11034,0.17874,0.32147,0.17511,0.13017,0.11897,0.26734,0.55245,0.41527,0.29415
45 to 49,0.13463,0.17835,0.17829,0.19753,0.17955,0.09725,0.04738,0.06251,0.15325,0.29792,0.18737,0.22871,0.13174,0.19001,0.34117,0.27324
50 to 54,0.15493,0.10762,0.08422,0.12104,0.12718,0.18606,0.08491,0.04983,0.06332,0.17791,0.25543,0.33209,0.20375,0.18142,0.22568,0.32445
55 to 59,0.13902,0.11908,0.04121,0.04144,0.0654,0.11177,0.10659,0.04778,0.01827,0.04618,0.15845,0.30906,0.26308,0.20257,0.10318,0.11423
60 to 64,0.08736,0.08594,0.03306,0.02293,0.01908,0.05776,0.09478,0.0813,0.05276,0.02871,0.04214,0.17858,0.25419,0.18672,0.15645,0.05139
65 to 69,0.03804,0.03828,0.02794,0.013,0.00669,0.01821,0.0229,0.04326,0.0496,0.02102,0.01621,0.07314,0.13437,0.1989,0.11621,0.08656
70 to 74,0.01504,0.01975,0.01995,0.00763,0.00482,0.00371,0.01329,0.02046,0.0207,0.02075,0.01785,0.0166,0.04056,0.09104,0.10468,0.06934
75+,0.01098,0.01067,0.00789,0.00451,0.00409,0.00602,0.00545,0.00547,0.01164,0.02293,0.02615,0.02378,0.00768,0.01895,0.07916,0.0315
