Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.27841,0.25462,0.18392,0.1329,0.27891,0.62485,0.51135,0.64299,0.43114,0.33481,0.68077,1.05541,1.12723,0.80549,0.58738,0.48348
5 to 9,0.37367,0.415,0.39196,0.21381,0.15916,0.27926,0.58534,0.92187,0.73666,0.61023,0.55765,1.03875,1.04415,1.16006,1.56601,0.66023
10 to 14,0.24912,0.36456,0.70087,0.44163,0.17505,0.12551,0.36342,0.82873,0.84603,0.78436,0.80283,0.64245,0.66529,0.98146,1.25279,0.96577
15 to 19,0.15364,0.18763,0.34993,0.76097,0.53048,0.23538,0.10488,0.42821,0.67963,1.01545,0.94988,0.85354,0.65508,0.54823,1.11969,0.9169
20 to 24,0.25044,0.08059,0.10142,0.26627,0.82428,0.45683,0.14258,0.10758,0.25306,0.62376,0.88059,0.71347,0.43952,0.47595,0.25173,0.278
25 to 29,0.3636,0.24455,0.08809,0.11512,0.39851,0.717,0.29123,0.12404,0.11152,0.25569,0.61741,0.84816,0.54491,0.43947,0.52464,0.19651
30 to 34,0.35919,0.37369,0.1843,0.06771,0.10469,0.28026,0.42589,0.23634,0.17245,0.10491,0.33036,0.67926,0.63977,0.6723,0.40319,0.22874
35 to 39,0.29287,0.33544,0.29909,0.21174,0.05269,0.07817,0.19998,0.51302,0.2332,0.19023,0.1551,0.27177,0.50562,0.7251,0.79363,0.46417
40 to 44,0.14272,0.23374,0.28738,0.30699,0.17074,0.04417,0.08663,0.19139,0.40543,0.21933,0.20443,0.13534,0.2661,0.58573,0.73832,0.46248
45 to 49,0.07053,0.10591,0.14898,0.29206,0.33043,0.12529,0.03649,0.06742,0.16619,0.43561,0.28379,0.25719,0.13006,0.20043,0.59156,0.42723
50 to 54,0.08431,0.0609,0.06534,0.16532,0.23187,0.226,0.0663,0.05298,0.07026,0.21522,0.44532,0.35507,0.2017,0.19677,0.39299,0.50062
55 to 59,0.07302,0.06994,0.03087,0.05519,0.10915,0.13188,0.08444,0.05158,0.0202,0.0589,0.23398,0.38804,0.24947,0.21531,0.18684,0.18698
60 to 64,0.05036,0.04925,0.0244,0.03121,0.03193,0.06913,0.07489,0.08449,0.0583,0.03641,0.06528,0.19306,0.26731,0.18818,0.27415,0.08386
65 to 69,0.02029,0.02279,0.02209,0.01818,0.01073,0.02226,0.01803,0.04757,0.05556,0.02711,0.02607,0.08284,0.13123,0.23324,0.20084,0.13753
70 to 74,0.00785,0.01127,0.01646,0.00978,0.00877,0.00464,0.01025,0.0218,0.02236,0.02472,0.0265,0.01827,0.03871,0.0896,0.19432,0.10252
75+,0.00749,0.00787,0.00752,0.00779,0.00923,0.00983,0.00478,0.00628,0.01295,0.03161,0.04368,0.02961,0.00787,0.01964,0.1345,0.05668
