Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.53816,0.8067,0.60193,0.3462,0.45892,0.83999,0.83534,0.91003,0.62626,0.39541,0.55489,0.86457,0.98156,0.64076,0.33943,0.27798
5 to 9,1.19253,0.81668,1.09358,0.55339,0.33258,0.42356,0.94053,1.18957,0.96385,0.69207,0.47454,0.86238,0.91091,0.88986,0.87383,0.36439
10 to 14,0.85172,1.03618,1.10242,0.80076,0.32631,0.227,0.61243,0.93959,0.88675,0.74457,0.62617,0.5214,0.55283,0.73362,0.63952,0.49486
15 to 19,0.5417,0.64353,0.8173,0.88391,0.71916,0.4132,0.23368,0.55278,0.65904,0.83163,0.65001,0.65294,0.55547,0.41329,0.56253,0.46535
20 to 24,0.684,0.28257,0.30092,0.45646,0.61855,0.59031,0.3134,0.19302,0.28118,0.47617,0.52403,0.49685,0.3491,0.35336,0.12801,0.14136
25 to 29,0.81579,0.63013,0.26431,0.26375,0.51672,0.47283,0.47973,0.21928,0.17773,0.24298,0.37511,0.55093,0.39639,0.30266,0.26496,0.10616
30 to 34,0.7164,0.70339,0.36499,0.15043,0.18324,0.3304,0.30223,0.28709,0.24639,0.1364,0.24318,0.43741,0.44658,0.45249,0.1961,0.12622
35 to 39,0.58503,0.60186,0.46579,0.30869,0.09971,0.13331,0.28425,0.27748,0.24442,0.20996,0.13425,0.20933,0.36676,0.45925,0.37419,0.23142
40 to 44,0.33008,0.4475,0.39877,0.30367,0.1597,0.07142,0.15653,0.19586,0.17575,0.15355,0.14296,0.112,0.2048,0.37912,0.29863,0.22715
45 to 49,0.18287,0.24027,0.23765,0.27841,0.22292,0.12194,0.07964,0.09664,0.13857,0.14747,0.14304,0.1817,0.11378,0.138,0.23927,0.1848
50 to 54,0.20342,0.17244,0.14384,0.21156,0.17465,0.18439,0.10677,0.08898,0.08772,0.14954,0.11086,0.20014,0.15579,0.14896,0.20165,0.22268
55 to 59,0.19205,0.18577,0.07888,0.09155,0.11351,0.11309,0.10419,0.07259,0.03053,0.05787,0.12419,0.09614,0.13159,0.12608,0.08935,0.08803
60 to 64,0.12682,0.13917,0.06237,0.06254,0.04273,0.06945,0.0948,0.0975,0.07526,0.0445,0.04774,0.09681,0.06972,0.08998,0.11738,0.03814
65 to 69,0.06559,0.06853,0.06048,0.03768,0.01896,0.02865,0.02869,0.05607,0.06771,0.03,0.02245,0.05348,0.06971,0.05743,0.06366,0.05795
70 to 74,0.02385,0.03133,0.03522,0.01779,0.01133,0.00567,0.01592,0.02567,0.0215,0.01958,0.02065,0.01378,0.02618,0.03913,0.02764,0.03588
75+,0.0153,0.01569,0.01268,0.0091,0.00779,0.00777,0.00654,0.00699,0.01317,0.01972,0.02109,0.01693,0.00481,0.01007,0.03978,0.0097
