Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.74833,1.20998,1.07208,0.68784,0.82446,1.3492,1.28496,1.47492,1.08108,0.71089,0.96435,1.31986,1.78612,1.16706,0.67335,0.85207
5 to 9,1.78329,1.13894,1.74755,1.07079,0.70978,0.74859,1.39502,1.78491,1.52777,1.1685,0.79729,1.2545,1.54095,1.40555,1.57805,1.00157
10 to 14,1.35799,1.46556,1.56194,1.34044,0.67732,0.47253,1.00753,1.27624,1.26219,1.12316,1.01634,0.70883,0.83967,1.12727,0.98979,1.24759
15 to 19,0.91072,1.05694,1.28236,1.35568,1.29017,0.87125,0.47912,0.89809,0.91182,1.22409,1.00465,0.89052,0.90487,0.69366,0.88007,1.15976
20 to 24,0.95354,0.49253,0.56226,0.76501,1.00905,1.09796,0.64525,0.41053,0.47303,0.75647,0.83905,0.72414,0.60176,0.60074,0.22052,0.37948
25 to 29,0.9925,0.88956,0.51356,0.54039,0.97268,0.74031,0.91374,0.46563,0.39181,0.46855,0.67381,0.85989,0.70825,0.51736,0.51401,0.31231
30 to 34,0.8624,0.8184,0.55665,0.32179,0.41126,0.65747,0.46258,0.56005,0.51068,0.32108,0.52512,0.7949,0.88723,0.84951,0.41083,0.44635
35 to 39,0.75181,0.69698,0.53621,0.48941,0.23296,0.30009,0.53883,0.40009,0.44731,0.42977,0.28054,0.387,0.73976,0.83654,0.80484,0.73722
40 to 44,0.46912,0.55453,0.43758,0.35397,0.27042,0.16736,0.32127,0.35238,0.24238,0.26776,0.28056,0.203,0.39844,0.71713,0.55662,0.77782
45 to 49,0.28179,0.34276,0.3018,0.33214,0.30567,0.231,0.18302,0.1937,0.22947,0.20356,0.23018,0.2639,0.20878,0.25511,0.40186,0.49188
50 to 54,0.30711,0.27379,0.23192,0.31448,0.2674,0.32584,0.22851,0.19234,0.17785,0.25504,0.13877,0.25082,0.25438,0.24691,0.34402,0.55219
55 to 59,0.28444,0.284,0.1303,0.15098,0.19136,0.19266,0.19781,0.1523,0.0634,0.10083,0.17532,0.0902,0.16695,0.14506,0.12286,0.21203
60 to 64,0.21367,0.23148,0.10675,0.12184,0.08733,0.13534,0.19257,0.20791,0.1593,0.09216,0.08498,0.12183,0.07042,0.12428,0.17377,0.07066
65 to 69,0.12503,0.12107,0.11676,0.0826,0.0444,0.06192,0.0613,0.1189,0.14974,0.06851,0.04415,0.06859,0.10578,0.04874,0.06508,0.10679
70 to 74,0.0475,0.0584,0.06258,0.03447,0.02508,0.01298,0.03567,0.06006,0.0449,0.04044,0.04079,0.0195,0.04148,0.0391,0.01111,0.04175
75+,0.02962,0.02887,0.02401,0.0178,0.01733,0.01729,0.01591,0.01589,0.03124,0.03951,0.03924,0.02807,0.00667,0.01217,0.0304,0.01584
