Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.38009,0.49353,0.28078,0.15621,0.23808,0.62923,0.71449,0.69402,0.49636,0.28079,0.48966,0.7923,1.05359,0.61765,0.26495,0.16499
5 to 9,0.66571,0.61747,0.57277,0.25105,0.13981,0.28272,0.82772,0.9968,0.83723,0.51049,0.39925,0.76502,0.97329,0.87656,0.7038,0.22189
10 to 14,0.44833,0.6838,0.7723,0.46102,0.15114,0.12689,0.50901,0.89238,0.92913,0.64458,0.57406,0.47306,0.615,0.73792,0.55663,0.3284
15 to 19,0.28404,0.37533,0.48835,0.65057,0.42816,0.24663,0.15448,0.46857,0.74265,0.81837,0.67585,0.63154,0.60931,0.41401,0.49929,0.31127
20 to 24,0.4498,0.16255,0.15461,0.28937,0.5076,0.44778,0.21443,0.12234,0.27939,0.49562,0.61752,0.53295,0.4126,0.36236,0.11097,0.09362
25 to 29,0.61719,0.4663,0.13031,0.13558,0.31623,0.5268,0.41417,0.14369,0.12829,0.20352,0.43129,0.62755,0.50937,0.34026,0.23573,0.06747
30 to 34,0.57318,0.64203,0.24465,0.07589,0.09042,0.26546,0.43109,0.25469,0.19726,0.08719,0.23345,0.4977,0.59024,0.52116,0.18299,0.0789
35 to 39,0.44228,0.55219,0.38094,0.21472,0.04567,0.08016,0.26826,0.39855,0.25655,0.15658,0.11107,0.19756,0.46729,0.54981,0.35313,0.16299
40 to 44,0.2331,0.39566,0.35471,0.27987,0.11973,0.04339,0.1207,0.2009,0.32403,0.17114,0.14165,0.09888,0.24454,0.44446,0.33015,0.16228
45 to 49,0.11878,0.18283,0.1862,0.25774,0.21536,0.10426,0.05149,0.07234,0.17294,0.2533,0.18956,0.18628,0.11782,0.1518,0.259,0.14629
50 to 54,0.13994,0.11478,0.09072,0.16234,0.15591,0.19412,0.09129,0.05893,0.07725,0.16955,0.22838,0.25768,0.18706,0.14753,0.17559,0.17391
55 to 59,0.13369,0.13062,0.04523,0.05821,0.0847,0.11711,0.11096,0.05614,0.02272,0.0481,0.16272,0.20524,0.224,0.1609,0.08291,0.06176
60 to 64,0.08583,0.09654,0.03624,0.03379,0.02568,0.06329,0.09842,0.09195,0.06493,0.02979,0.04668,0.13625,0.18567,0.1367,0.12229,0.0285
65 to 69,0.0382,0.044,0.03213,0.01921,0.00931,0.02107,0.02524,0.04966,0.06091,0.02211,0.01828,0.05983,0.11281,0.13204,0.08744,0.04729
70 to 74,0.01434,0.02132,0.0221,0.01069,0.00619,0.00417,0.01424,0.0226,0.02393,0.01931,0.01845,0.01326,0.03505,0.06625,0.06433,0.03624
75+,0.00969,0.0113,0.00829,0.00621,0.00496,0.0063,0.00548,0.00637,0.01331,0.02136,0.02568,0.01807,0.00662,0.01417,0.05879,0.01406
