Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.41384,0.52964,0.39276,0.22756,0.35013,0.56137,0.47495,0.50088,0.37137,0.24441,0.457,0.65008,0.77491,0.53388,0.3031,0.27943
5 to 9,0.74187,0.64003,0.77474,0.36204,0.20047,0.24944,0.54856,0.72076,0.62382,0.44064,0.36617,0.61617,0.7116,0.74961,0.80348,0.37691
10 to 14,0.51054,0.72344,1.00454,0.64824,0.21794,0.10942,0.33409,0.64038,0.68858,0.55032,0.52198,0.37827,0.44781,0.62604,0.62212,0.55644
15 to 19,0.31992,0.40231,0.64673,0.896,0.61392,0.21407,0.10031,0.33552,0.55213,0.71021,0.62072,0.50878,0.44256,0.35565,0.56168,0.51882
20 to 24,0.49488,0.16925,0.20595,0.40749,0.70708,0.38802,0.13874,0.08443,0.20396,0.43274,0.5631,0.42608,0.29819,0.31259,0.12226,0.15683
25 to 29,0.67617,0.49207,0.17044,0.18748,0.45153,0.44269,0.26977,0.10069,0.09046,0.17261,0.38925,0.50005,0.36459,0.28355,0.26174,0.11257
30 to 34,0.62846,0.66792,0.3258,0.10282,0.12683,0.2277,0.27179,0.17921,0.14005,0.07202,0.20629,0.38775,0.42031,0.42738,0.20096,0.12973
35 to 39,0.49569,0.58604,0.51415,0.30513,0.06349,0.06908,0.17528,0.27872,0.19118,0.12972,0.09803,0.15545,0.3411,0.44961,0.39182,0.27707
40 to 44,0.26608,0.42699,0.47688,0.39914,0.17045,0.03632,0.07751,0.14538,0.23641,0.14876,0.12501,0.07681,0.17293,0.36507,0.36033,0.27734
45 to 49,0.13514,0.19953,0.25222,0.36929,0.30801,0.0902,0.03308,0.04992,0.12988,0.2154,0.1744,0.14449,0.0836,0.12517,0.28777,0.24453
50 to 54,0.16165,0.12534,0.12793,0.24409,0.23026,0.17214,0.06012,0.04123,0.05583,0.15406,0.21054,0.20838,0.13072,0.12297,0.19812,0.28655
55 to 59,0.1496,0.13824,0.06285,0.08402,0.1207,0.10183,0.0729,0.03953,0.01632,0.0398,0.14808,0.16268,0.16428,0.13215,0.08895,0.10035
60 to 64,0.09343,0.1029,0.05188,0.04795,0.0365,0.05431,0.06444,0.06829,0.04697,0.02458,0.03993,0.10921,0.13521,0.12027,0.13769,0.04582
65 to 69,0.04033,0.04365,0.0408,0.02633,0.01318,0.01749,0.01557,0.03283,0.04234,0.01814,0.01598,0.04532,0.08172,0.1048,0.09617,0.07595
70 to 74,0.01636,0.02368,0.03052,0.01588,0.00892,0.00365,0.00927,0.01617,0.01743,0.01654,0.01662,0.01015,0.0255,0.0568,0.07428,0.06021
75+,0.01059,0.01158,0.01119,0.00843,0.00682,0.00527,0.0035,0.00456,0.00984,0.01803,0.0223,0.01379,0.00462,0.01169,0.06429,0.02241
