Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.08289,0.87084,0.26065,0.12741,0.12374,0.15892,0.13248,0.10796,0.06584,0.01574,0.01493,0.01767,0.00948,0.00541,0.0016,0.00171
5 to 9,0.91281,3.32067,1.40289,0.40603,0.15955,0.08363,0.09533,0.12883,0.0865,0.0262,0.02837,0.01592,0.01049,0.00725,0.00344,0.00176
10 to 14,0.47849,1.24663,5.08325,1.93531,0.24367,0.07713,0.14833,0.09941,0.13882,0.03496,0.03299,0.01754,0.00925,0.00472,0.00508,0.00266
15 to 19,0.37289,0.36482,0.83823,6.12311,1.65545,0.3181,0.12474,0.07763,0.09405,0.07031,0.05172,0.02195,0.0155,0.00524,0.01,0.00155
20 to 24,0.6503,0.31873,0.57193,1.52919,2.7617,0.91674,0.34071,0.19076,0.17415,0.09971,0.09744,0.05672,0.0337,0.01577,0.00957,0.0035
25 to 29,1.0564,0.67286,0.5145,0.76081,1.16125,1.24441,0.53282,0.35615,0.22244,0.13166,0.13157,0.1017,0.05516,0.02621,0.01485,0.00497
30 to 34,1.31567,0.88529,0.64005,0.51925,0.74158,0.76255,0.72015,0.48034,0.33087,0.17401,0.10391,0.11358,0.06136,0.03575,0.01648,0.01018
35 to 39,1.1672,1.0167,0.79125,0.64274,0.50926,0.5279,0.53157,0.60502,0.36963,0.20096,0.10421,0.09743,0.07603,0.03312,0.02371,0.00845
40 to 44,0.86524,0.94152,1.00028,0.7206,0.43357,0.38642,0.36621,0.46183,0.4389,0.21107,0.12909,0.10424,0.07177,0.03452,0.03039,0.00882
45 to 49,0.64105,0.47318,0.6647,0.67036,0.5289,0.36596,0.29267,0.31006,0.27959,0.2263,0.15085,0.07685,0.0608,0.02871,0.02396,0.01144
50 to 54,0.79181,0.38721,0.44626,0.30928,0.32825,0.31614,0.30338,0.216,0.19605,0.17996,0.1211,0.11526,0.05623,0.03243,0.02003,0.00853
55 to 59,0.72242,0.43846,0.30325,0.16784,0.23757,0.18524,0.23928,0.18708,0.10078,0.09004,0.10486,0.11761,0.07616,0.03838,0.02186,0.00899
60 to 64,0.55102,0.46788,0.24452,0.14134,0.10981,0.08385,0.12583,0.18458,0.10968,0.07357,0.07321,0.08748,0.07609,0.04181,0.04133,0.00978
65 to 69,0.46546,0.34276,0.2483,0.12633,0.08285,0.06136,0.09018,0.12692,0.07658,0.04791,0.03978,0.04857,0.05519,0.03623,0.03705,0.01297
70 to 74,0.32839,0.18284,0.19829,0.08474,0.10205,0.04325,0.05114,0.08421,0.06562,0.0481,0.02953,0.03032,0.0436,0.02162,0.03846,0.01272
75+,0.16111,0.14079,0.17793,0.05867,0.08384,0.02274,0.04956,0.03476,0.0289,0.03874,0.02076,0.01717,0.01908,0.01346,0.01463,0.009
