Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.69561,0.68122,0.18695,0.11125,0.14523,0.2667,0.24946,0.14557,0.06653,0.01128,0.01235,0.01655,0.0112,0.00811,0.00175,0.00235
5 to 9,0.74308,2.59762,1.00617,0.35454,0.18727,0.14035,0.1795,0.17371,0.08741,0.01877,0.02347,0.01491,0.0124,0.01085,0.00376,0.00242
10 to 14,0.38952,0.97519,3.6458,1.6899,0.286,0.12944,0.2793,0.13404,0.14028,0.02505,0.02729,0.01643,0.01094,0.00706,0.00555,0.00366
15 to 19,0.30356,0.28538,0.60119,5.34665,1.94299,0.53383,0.23489,0.10467,0.09504,0.05038,0.04278,0.02056,0.01832,0.00784,0.01093,0.00213
20 to 24,0.52938,0.24933,0.4102,1.33528,3.24139,1.53849,0.64155,0.25721,0.17598,0.07144,0.0806,0.05313,0.03984,0.02362,0.01045,0.00481
25 to 29,0.85998,0.52635,0.36901,0.66433,1.36295,2.08837,1.0033,0.48021,0.22478,0.09434,0.10884,0.09526,0.06522,0.03924,0.01622,0.00684
30 to 34,1.07104,0.69252,0.45905,0.45341,0.87039,1.27971,1.35605,0.64767,0.33435,0.12468,0.08596,0.10639,0.07254,0.05353,0.018,0.01399
35 to 39,0.95018,0.79532,0.5675,0.56124,0.59772,0.88592,1.00095,0.81578,0.37352,0.14399,0.0862,0.09126,0.08989,0.0496,0.0259,0.01161
40 to 44,0.70436,0.73652,0.71742,0.62922,0.50888,0.64849,0.68957,0.62272,0.44351,0.15123,0.10678,0.09765,0.08486,0.05169,0.0332,0.01212
45 to 49,0.52186,0.37015,0.47673,0.58535,0.62077,0.61416,0.55111,0.41806,0.28252,0.16214,0.12478,0.07199,0.07188,0.04299,0.02618,0.01573
50 to 54,0.64458,0.3029,0.32006,0.27006,0.38527,0.53054,0.57126,0.29125,0.19812,0.12894,0.10017,0.10796,0.06648,0.04856,0.02188,0.01172
55 to 59,0.58809,0.34299,0.2175,0.14655,0.27883,0.31088,0.45057,0.25226,0.10184,0.06452,0.08674,0.11016,0.09005,0.05747,0.02388,0.01237
60 to 64,0.44856,0.366,0.17537,0.12342,0.12889,0.14072,0.23694,0.24888,0.11083,0.05271,0.06056,0.08194,0.08997,0.06261,0.04515,0.01344
65 to 69,0.37891,0.26812,0.17809,0.11031,0.09724,0.10297,0.1698,0.17114,0.07738,0.03433,0.0329,0.0455,0.06525,0.05425,0.04047,0.01783
70 to 74,0.26733,0.14303,0.14222,0.074,0.11978,0.07258,0.09629,0.11355,0.06631,0.03446,0.02443,0.0284,0.05155,0.03238,0.04202,0.01749
75+,0.13115,0.11013,0.12762,0.05123,0.09841,0.03816,0.09332,0.04686,0.0292,0.02776,0.01718,0.01608,0.02256,0.02015,0.01598,0.01238
