Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.75318,0.78014,0.27331,0.14444,0.14691,0.16601,0.12739,0.09512,0.05729,0.01405,0.01687,0.01971,0.01335,0.01015,0.00307,0.00405
5 to 9,0.76832,2.9748,1.47103,0.4603,0.18944,0.08737,0.09167,0.11351,0.07526,0.02338,0.03205,0.01776,0.01478,0.01359,0.00659,0.00417
10 to 14,0.40275,1.11679,5.33016,2.19396,0.28932,0.08057,0.14263,0.08758,0.12079,0.03119,0.03727,0.01957,0.01303,0.00885,0.00973,0.00631
15 to 19,0.31387,0.32682,0.87894,6.94143,1.96553,0.33229,0.11995,0.06839,0.08183,0.06275,0.05843,0.02449,0.02184,0.00982,0.01915,0.00368
20 to 24,0.54736,0.28553,0.59972,1.73356,3.27898,0.95765,0.32762,0.16807,0.15153,0.08898,0.11008,0.06328,0.04748,0.02958,0.01832,0.0083
25 to 29,0.88918,0.60277,0.53949,0.86249,1.37876,1.29993,0.51236,0.31378,0.19354,0.11749,0.14864,0.11347,0.07773,0.04914,0.02841,0.01179
30 to 34,1.10741,0.79308,0.67114,0.58865,0.88049,0.79657,0.6925,0.4232,0.28789,0.15528,0.11739,0.12671,0.08645,0.06704,0.03154,0.02413
35 to 39,0.98244,0.9108,0.82968,0.72864,0.60465,0.55146,0.51116,0.53305,0.32161,0.17933,0.11773,0.1087,0.10712,0.06212,0.04539,0.02002
40 to 44,0.72828,0.84346,1.04887,0.81691,0.51478,0.40366,0.35215,0.4069,0.38189,0.18835,0.14584,0.1163,0.10113,0.06473,0.05818,0.02091
45 to 49,0.53958,0.42389,0.69698,0.75995,0.62797,0.38229,0.28143,0.27317,0.24327,0.20194,0.17042,0.08574,0.08567,0.05384,0.04587,0.02712
50 to 54,0.66647,0.34688,0.46793,0.35061,0.38974,0.33024,0.29173,0.19031,0.17059,0.16059,0.13681,0.12859,0.07923,0.06081,0.03834,0.02022
55 to 59,0.60806,0.39279,0.31798,0.19027,0.28207,0.19351,0.23009,0.16483,0.08769,0.08035,0.11846,0.13121,0.10731,0.07197,0.04185,0.02132
60 to 64,0.46379,0.41915,0.2564,0.16023,0.13038,0.08759,0.121,0.16263,0.09543,0.06565,0.08271,0.0976,0.10722,0.0784,0.07911,0.02318
65 to 69,0.39178,0.30706,0.26036,0.14321,0.09836,0.0641,0.08671,0.11183,0.06663,0.04276,0.04494,0.05419,0.07776,0.06794,0.07092,0.03074
70 to 74,0.27641,0.1638,0.20792,0.09607,0.12117,0.04518,0.04917,0.07419,0.05709,0.04292,0.03336,0.03383,0.06143,0.04054,0.07362,0.03016
75+,0.13561,0.12613,0.18658,0.06652,0.09955,0.02375,0.04766,0.03062,0.02514,0.03457,0.02346,0.01916,0.02689,0.02523,0.02799,0.02134
