Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.62935,0.3006,0.10191,0.06358,0.109,0.20107,0.20029,0.17601,0.12887,0.03553,0.05057,0.07112,0.05367,0.04864,0.01831,0.02712
5 to 9,0.27581,1.14625,0.5485,0.2026,0.14055,0.10582,0.14412,0.21004,0.1693,0.05913,0.09609,0.06407,0.05942,0.06511,0.0393,0.02794
10 to 14,0.14458,0.43032,1.98746,0.9657,0.21466,0.09759,0.22425,0.16207,0.2717,0.07891,0.11174,0.0706,0.05239,0.04238,0.058,0.04226
15 to 19,0.11267,0.12593,0.32773,3.05536,1.45833,0.40247,0.18859,0.12656,0.18407,0.15872,0.17518,0.08838,0.08778,0.04706,0.11416,0.02463
20 to 24,0.19649,0.11002,0.22362,0.76305,2.43286,1.1599,0.51509,0.311,0.34086,0.22508,0.33005,0.22832,0.19087,0.14172,0.1092,0.0556
25 to 29,0.31919,0.23226,0.20116,0.37964,1.02298,1.57447,0.80553,0.58064,0.43537,0.2972,0.44567,0.40938,0.31244,0.23546,0.16939,0.07898
30 to 34,0.39753,0.30559,0.25025,0.2591,0.65328,0.96481,1.08875,0.78311,0.6476,0.39278,0.35198,0.45719,0.34751,0.32121,0.18802,0.1616
35 to 39,0.35267,0.35095,0.30936,0.32072,0.44862,0.66792,0.80365,0.98638,0.72346,0.45362,0.35298,0.39218,0.43061,0.29761,0.27056,0.13411
40 to 44,0.26143,0.325,0.39109,0.35957,0.38195,0.48891,0.55365,0.75294,0.85904,0.47645,0.43727,0.41962,0.40652,0.31013,0.34681,0.14005
45 to 49,0.1937,0.16333,0.25989,0.3345,0.46593,0.46303,0.44248,0.50549,0.54722,0.51082,0.51095,0.30936,0.34435,0.25795,0.27344,0.18169
50 to 54,0.23925,0.13366,0.17448,0.15433,0.28917,0.39999,0.45866,0.35215,0.38373,0.40623,0.4102,0.46396,0.31847,0.29134,0.22854,0.13542
55 to 59,0.21828,0.15135,0.11857,0.08375,0.20928,0.23438,0.36175,0.30501,0.19726,0.20325,0.35519,0.47341,0.43137,0.34481,0.24946,0.14283
60 to 64,0.16649,0.16151,0.0956,0.07053,0.09674,0.10609,0.19023,0.30093,0.21466,0.16607,0.24797,0.35213,0.43099,0.37565,0.47162,0.15528
65 to 69,0.14064,0.11831,0.09708,0.06304,0.07298,0.07763,0.13633,0.20693,0.14988,0.10816,0.13474,0.19551,0.31259,0.32553,0.42276,0.20592
70 to 74,0.09922,0.06311,0.07753,0.04229,0.0899,0.05472,0.07731,0.13729,0.12843,0.10857,0.10002,0.12205,0.24693,0.19426,0.43889,0.202
75+,0.04868,0.0486,0.06957,0.02928,0.07386,0.02877,0.07492,0.05666,0.05656,0.08744,0.07033,0.06912,0.10808,0.1209,0.16689,0.14295
