Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.53204,0.27965,0.10265,0.05308,0.07031,0.12378,0.13915,0.16282,0.15345,0.04656,0.06367,0.08936,0.06572,0.0576,0.02509,0.04306
5 to 9,0.23316,1.06636,0.5525,0.16916,0.09067,0.06514,0.10012,0.19429,0.20159,0.07749,0.12099,0.08051,0.07276,0.07711,0.05386,0.04436
10 to 14,0.12222,0.40033,2.00193,0.80628,0.13847,0.06008,0.15579,0.14992,0.32353,0.1034,0.14069,0.08872,0.06415,0.05019,0.07949,0.0671
15 to 19,0.09525,0.11715,0.33012,2.55096,0.94072,0.24777,0.13102,0.11707,0.21918,0.20799,0.22058,0.11105,0.10749,0.05573,0.15645,0.0391
20 to 24,0.16611,0.10235,0.22524,0.63708,1.56935,0.71406,0.35785,0.28768,0.40587,0.29494,0.41558,0.2869,0.23371,0.16782,0.14966,0.08828
25 to 29,0.26984,0.21607,0.20263,0.31696,0.65988,0.96927,0.55962,0.53711,0.51841,0.38946,0.56115,0.51443,0.38258,0.27883,0.23216,0.12539
30 to 34,0.33607,0.28429,0.25207,0.21633,0.42141,0.59395,0.75638,0.7244,0.77111,0.51471,0.44318,0.5745,0.42552,0.38038,0.25769,0.25658
35 to 39,0.29814,0.32649,0.31162,0.26778,0.28939,0.41118,0.55831,0.91243,0.86144,0.59443,0.44444,0.49281,0.52727,0.35243,0.37081,0.21292
40 to 44,0.22101,0.30235,0.39394,0.30021,0.24638,0.30098,0.38463,0.69649,1.02288,0.62435,0.55058,0.52729,0.49777,0.36726,0.47532,0.22236
45 to 49,0.16375,0.15195,0.26178,0.27928,0.30055,0.28505,0.3074,0.46759,0.65159,0.66939,0.64336,0.38873,0.42165,0.30547,0.37476,0.28847
50 to 54,0.20225,0.12434,0.17575,0.12885,0.18653,0.24624,0.31864,0.32575,0.45692,0.53233,0.51649,0.583,0.38996,0.34501,0.31322,0.215
55 to 59,0.18453,0.1408,0.11943,0.06992,0.135,0.14429,0.25132,0.28214,0.23488,0.26634,0.44723,0.59488,0.5282,0.40833,0.34189,0.22677
60 to 64,0.14075,0.15025,0.0963,0.05889,0.0624,0.06531,0.13216,0.27837,0.25561,0.21762,0.31223,0.44248,0.52774,0.44485,0.64637,0.24654
65 to 69,0.11889,0.11007,0.09779,0.05263,0.04708,0.04779,0.09471,0.19141,0.17847,0.14173,0.16965,0.24568,0.38276,0.38549,0.5794,0.32693
70 to 74,0.08388,0.05872,0.07809,0.03531,0.05799,0.03369,0.05371,0.127,0.15292,0.14227,0.12594,0.15336,0.30236,0.23004,0.60151,0.32072
75+,0.04115,0.04521,0.07007,0.02444,0.04764,0.01771,0.05205,0.05242,0.06734,0.11458,0.08856,0.08686,0.13234,0.14317,0.22872,0.22696
