Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.60655,0.26833,0.08526,0.05573,0.15854,0.43712,0.40043,0.22982,0.11219,0.02416,0.026,0.02889,0.0164,0.00832,0.00219,0.00412
5 to 9,0.26582,1.02321,0.45889,0.17761,0.20442,0.23004,0.28813,0.27425,0.14739,0.04021,0.04941,0.02603,0.01815,0.01114,0.00471,0.00425
10 to 14,0.13934,0.38413,1.66276,0.84656,0.3122,0.21215,0.44834,0.21161,0.23655,0.05366,0.05746,0.02868,0.016,0.00725,0.00695,0.00643
15 to 19,0.10859,0.11241,0.27419,2.67841,2.12102,0.87496,0.37704,0.16524,0.16026,0.10793,0.09009,0.0359,0.02682,0.00805,0.01368,0.00374
20 to 24,0.18937,0.09821,0.18708,0.66891,3.53838,2.52159,1.02981,0.40607,0.29676,0.15304,0.16973,0.09276,0.05831,0.02424,0.01309,0.00846
25 to 29,0.30763,0.20733,0.1683,0.3328,1.48783,3.42285,1.61049,0.75814,0.37904,0.20209,0.22919,0.16632,0.09545,0.04027,0.0203,0.01201
30 to 34,0.38313,0.27279,0.20936,0.22713,0.95014,2.09746,2.17673,1.02251,0.56381,0.26708,0.18101,0.18574,0.10616,0.05493,0.02254,0.02457
35 to 39,0.3399,0.31328,0.25882,0.28115,0.65248,1.45203,1.60672,1.28792,0.62985,0.30845,0.18152,0.15933,0.13155,0.05089,0.03243,0.02039
40 to 44,0.25196,0.29011,0.3272,0.31521,0.55551,1.06288,1.1069,0.98311,0.74789,0.32397,0.22487,0.17048,0.12419,0.05304,0.04157,0.0213
45 to 49,0.18668,0.1458,0.21743,0.29323,0.67765,1.00661,0.88463,0.66002,0.47642,0.34734,0.26276,0.12568,0.1052,0.04411,0.03278,0.02763
50 to 54,0.23058,0.11931,0.14597,0.13529,0.42057,0.86956,0.91699,0.45981,0.33408,0.27622,0.21095,0.18849,0.09729,0.04982,0.02739,0.02059
55 to 59,0.21037,0.1351,0.0992,0.07342,0.30438,0.50953,0.72325,0.39825,0.17173,0.13821,0.18266,0.19233,0.13178,0.05897,0.0299,0.02172
60 to 64,0.16046,0.14417,0.07998,0.06183,0.1407,0.23064,0.38033,0.39292,0.18689,0.11292,0.12752,0.14306,0.13167,0.06424,0.05653,0.02361
65 to 69,0.13554,0.10561,0.08122,0.05526,0.10614,0.16877,0.27257,0.27019,0.13049,0.07354,0.06929,0.07943,0.0955,0.05567,0.05067,0.03131
70 to 74,0.09563,0.05634,0.06486,0.03707,0.13076,0.11896,0.15457,0.17926,0.11181,0.07383,0.05144,0.04958,0.07544,0.03322,0.05261,0.03072
75+,0.04692,0.04338,0.0582,0.02567,0.10742,0.06254,0.14979,0.07399,0.04924,0.05946,0.03617,0.02808,0.03302,0.02067,0.02,0.02174
