Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.01047,0.48655,0.16283,0.09123,0.11989,0.20693,0.20379,0.17913,0.11826,0.02971,0.03463,0.04373,0.03192,0.02614,0.00704,0.01228
5 to 9,0.44283,1.85529,0.87636,0.29072,0.15459,0.1089,0.14664,0.21376,0.15536,0.04945,0.06581,0.0394,0.03534,0.03499,0.0151,0.01265
10 to 14,0.23213,0.69651,3.17543,1.38571,0.23609,0.10043,0.22817,0.16494,0.24933,0.06598,0.07653,0.04341,0.03116,0.02277,0.02229,0.01914
15 to 19,0.1809,0.20383,0.52363,4.38424,1.60396,0.41421,0.19189,0.1288,0.16891,0.13272,0.11999,0.05434,0.05221,0.02528,0.04387,0.01115
20 to 24,0.31548,0.17808,0.35728,1.09492,2.6758,1.19372,0.5241,0.31652,0.31279,0.1882,0.22606,0.14039,0.11352,0.07615,0.04196,0.02518
25 to 29,0.51249,0.37593,0.3214,0.54475,1.12513,1.62038,0.81963,0.59093,0.39952,0.24851,0.30525,0.25173,0.18584,0.12651,0.06509,0.03577
30 to 34,0.63827,0.49462,0.39983,0.37179,0.71852,0.99294,1.1078,0.797,0.59426,0.32844,0.24108,0.28113,0.20669,0.17259,0.07225,0.0732
35 to 39,0.56625,0.56804,0.49428,0.46021,0.49342,0.6874,0.81771,1.00387,0.66388,0.37931,0.24176,0.24116,0.25612,0.15991,0.10397,0.06074
40 to 44,0.41975,0.52604,0.62486,0.51596,0.42009,0.50317,0.56334,0.76629,0.78829,0.39839,0.2995,0.25803,0.24179,0.16664,0.13327,0.06344
45 to 49,0.311,0.26437,0.41523,0.47999,0.51245,0.47653,0.45022,0.51445,0.50215,0.42713,0.34996,0.19023,0.20482,0.1386,0.10507,0.0823
50 to 54,0.38413,0.21634,0.27877,0.22145,0.31804,0.41165,0.46669,0.3584,0.35213,0.33968,0.28095,0.28529,0.18942,0.15654,0.08782,0.06134
55 to 59,0.35047,0.24497,0.18944,0.12017,0.23018,0.24121,0.36808,0.31042,0.18101,0.16995,0.24328,0.29111,0.25657,0.18527,0.09586,0.0647
60 to 64,0.26731,0.26141,0.15275,0.1012,0.1064,0.10918,0.19356,0.30626,0.19698,0.13886,0.16984,0.21653,0.25635,0.20184,0.18122,0.07034
65 to 69,0.22581,0.1915,0.15511,0.09045,0.08027,0.0799,0.13872,0.2106,0.13754,0.09044,0.09229,0.12022,0.18593,0.17491,0.16245,0.09327
70 to 74,0.15931,0.10216,0.12387,0.06068,0.09888,0.05632,0.07866,0.13973,0.11785,0.09078,0.06851,0.07505,0.14687,0.10438,0.16865,0.0915
75+,0.07816,0.07866,0.11115,0.04201,0.08124,0.02961,0.07624,0.05767,0.0519,0.07312,0.04817,0.0425,0.06429,0.06496,0.06413,0.06475
