Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.76283,0.36817,0.12347,0.06828,0.09913,0.17875,0.16776,0.13948,0.1001,0.03387,0.04917,0.07446,0.0576,0.0544,0.0236,0.03554
5 to 9,0.3343,1.40389,0.66455,0.21759,0.12782,0.09407,0.12071,0.16644,0.13151,0.05637,0.09343,0.06708,0.06377,0.07283,0.05065,0.03661
10 to 14,0.17524,0.52705,2.40795,1.03711,0.19521,0.08675,0.18783,0.12843,0.21106,0.07522,0.10865,0.07392,0.05622,0.0474,0.07475,0.05539
15 to 19,0.13657,0.15424,0.39707,3.28129,1.32622,0.35779,0.15796,0.10029,0.14299,0.15131,0.17034,0.09253,0.0942,0.05263,0.14712,0.03227
20 to 24,0.23816,0.13475,0.27093,0.81947,2.21246,1.03114,0.43144,0.24645,0.26478,0.21456,0.32092,0.23905,0.20482,0.1585,0.14074,0.07286
25 to 29,0.38689,0.28447,0.24372,0.40771,0.9303,1.39969,0.67472,0.46012,0.33819,0.28331,0.43334,0.42862,0.33528,0.26334,0.21831,0.1035
30 to 34,0.48184,0.37428,0.30319,0.27826,0.5941,0.8577,0.91194,0.62056,0.50304,0.37443,0.34224,0.47867,0.37291,0.35926,0.24231,0.21178
35 to 39,0.42747,0.42983,0.37482,0.34444,0.40798,0.59377,0.67313,0.78164,0.56197,0.43243,0.34321,0.41061,0.46209,0.33286,0.34869,0.17574
40 to 44,0.31688,0.39805,0.47384,0.38616,0.34734,0.43464,0.46373,0.59665,0.66729,0.45419,0.42517,0.43934,0.43624,0.34687,0.44696,0.18353
45 to 49,0.23478,0.20005,0.31487,0.35924,0.42372,0.41163,0.37062,0.40057,0.42507,0.48695,0.49682,0.32389,0.36953,0.28851,0.35241,0.2381
50 to 54,0.28999,0.1637,0.21139,0.16574,0.26297,0.35559,0.38417,0.27906,0.29807,0.38725,0.39885,0.48576,0.34176,0.32585,0.29453,0.17746
55 to 59,0.26457,0.18537,0.14365,0.08994,0.19032,0.20836,0.303,0.2417,0.15323,0.19376,0.34536,0.49566,0.4629,0.38565,0.32149,0.18718
60 to 64,0.2018,0.19781,0.11583,0.07574,0.08797,0.09431,0.15934,0.23847,0.16675,0.15831,0.24111,0.36868,0.4625,0.42015,0.6078,0.2035
65 to 69,0.17047,0.14491,0.11762,0.0677,0.06637,0.06901,0.11419,0.16398,0.11643,0.1031,0.13101,0.2047,0.33544,0.36409,0.54484,0.26985
70 to 74,0.12027,0.0773,0.09393,0.04541,0.08176,0.04865,0.06476,0.10879,0.09976,0.1035,0.09725,0.12778,0.26498,0.21727,0.56562,0.26472
75+,0.059,0.05952,0.08429,0.03144,0.06717,0.02557,0.06276,0.0449,0.04393,0.08336,0.06839,0.07237,0.11598,0.13522,0.21508,0.18733
