Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.58292,0.27861,0.0868,0.04484,0.06999,0.12765,0.15893,0.16307,0.13279,0.03852,0.05936,0.09004,0.07623,0.07912,0.02649,0.04561
5 to 9,0.25546,1.06239,0.46715,0.14288,0.09025,0.06718,0.11436,0.19459,0.17445,0.06411,0.11279,0.08112,0.0844,0.10592,0.05685,0.04698
10 to 14,0.13391,0.39884,1.69269,0.68104,0.13783,0.06195,0.17794,0.15015,0.27997,0.08554,0.13116,0.08939,0.07441,0.06894,0.0839,0.07108
15 to 19,0.10436,0.11672,0.27913,2.15474,0.93639,0.2555,0.14964,0.11725,0.18968,0.17207,0.20563,0.11189,0.12468,0.07655,0.16514,0.04142
20 to 24,0.18199,0.10197,0.19045,0.53813,1.56213,0.73635,0.40872,0.28812,0.35124,0.244,0.38742,0.28906,0.2711,0.23053,0.15797,0.09351
25 to 29,0.29565,0.21527,0.17133,0.26773,0.65685,0.99953,0.63919,0.53793,0.44862,0.32219,0.52313,0.5183,0.44378,0.38301,0.24504,0.13282
30 to 34,0.36821,0.28323,0.21313,0.18273,0.41947,0.61249,0.86392,0.72551,0.66731,0.42581,0.41316,0.57883,0.49359,0.5225,0.27199,0.27178
35 to 39,0.32666,0.32527,0.26348,0.22618,0.28806,0.42402,0.63769,0.91383,0.74548,0.49177,0.41433,0.49652,0.61162,0.48412,0.39139,0.22554
40 to 44,0.24215,0.30122,0.33309,0.25358,0.24525,0.31038,0.43932,0.69755,0.88519,0.51651,0.51327,0.53127,0.5774,0.50448,0.5017,0.23554
45 to 49,0.17941,0.15139,0.22134,0.2359,0.29917,0.29395,0.3511,0.46831,0.56388,0.55377,0.59976,0.39166,0.4891,0.4196,0.39556,0.30556
50 to 54,0.2216,0.12388,0.1486,0.10884,0.18567,0.25393,0.36395,0.32625,0.39541,0.44039,0.48149,0.58739,0.45235,0.47392,0.3306,0.22774
55 to 59,0.20218,0.14028,0.10098,0.05906,0.13438,0.14879,0.28705,0.28257,0.20326,0.22034,0.41692,0.59937,0.6127,0.56089,0.36086,0.24021
60 to 64,0.15421,0.14969,0.08142,0.04974,0.06212,0.06735,0.15095,0.27879,0.2212,0.18003,0.29107,0.44582,0.61216,0.61106,0.68224,0.26115
65 to 69,0.13026,0.10966,0.08268,0.04446,0.04686,0.04928,0.10818,0.19171,0.15444,0.11725,0.15816,0.24753,0.44399,0.52953,0.61156,0.34631
70 to 74,0.0919,0.0585,0.06603,0.02982,0.05773,0.03474,0.06135,0.12719,0.13234,0.1177,0.11741,0.15452,0.35073,0.31599,0.63489,0.33973
75+,0.04509,0.04504,0.05925,0.02065,0.04743,0.01826,0.05945,0.0525,0.05828,0.09479,0.08256,0.08751,0.15351,0.19666,0.24142,0.24041
