Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.66218,0.74968,0.23885,0.12172,0.11853,0.15571,0.15058,0.12647,0.08797,0.01848,0.02581,0.02762,0.01816,0.01275,0.00397,0.00504
5 to 9,0.72843,2.85868,1.28555,0.38792,0.15284,0.08195,0.10835,0.15092,0.11557,0.03075,0.04904,0.02488,0.0201,0.01707,0.00853,0.00519
10 to 14,0.38184,1.0732,4.65808,1.84897,0.23342,0.07557,0.16859,0.11645,0.18548,0.04104,0.05703,0.02742,0.01772,0.01111,0.01258,0.00785
15 to 19,0.29758,0.31406,0.76812,5.84994,1.58581,0.31168,0.14178,0.09094,0.12566,0.08255,0.08941,0.03432,0.0297,0.01233,0.02477,0.00457
20 to 24,0.51895,0.27439,0.5241,1.46097,2.64552,0.89825,0.38725,0.22347,0.23269,0.11706,0.16845,0.08866,0.06457,0.03714,0.02369,0.01033
25 to 29,0.84303,0.57925,0.47147,0.72687,1.1124,1.21931,0.60561,0.41721,0.29721,0.15457,0.22746,0.15898,0.1057,0.06171,0.03675,0.01467
30 to 34,1.04992,0.76212,0.58651,0.49609,0.71039,0.74717,0.81854,0.5627,0.44209,0.20428,0.17964,0.17754,0.11756,0.08419,0.0408,0.03002
35 to 39,0.93145,0.87525,0.72506,0.61407,0.48784,0.51725,0.6042,0.70876,0.49388,0.23592,0.18015,0.1523,0.14568,0.078,0.05871,0.02491
40 to 44,0.69047,0.81054,0.91662,0.68845,0.41533,0.37862,0.41624,0.54102,0.58643,0.24779,0.22317,0.16295,0.13753,0.08129,0.07525,0.02602
45 to 49,0.51157,0.40735,0.6091,0.64045,0.50665,0.35858,0.33266,0.36322,0.37357,0.26567,0.26078,0.12013,0.1165,0.06761,0.05933,0.03375
50 to 54,0.63188,0.33334,0.40893,0.29548,0.31444,0.30976,0.34483,0.25304,0.26196,0.21127,0.20935,0.18017,0.10774,0.07636,0.04959,0.02516
55 to 59,0.5765,0.37746,0.27789,0.16035,0.22757,0.18151,0.27197,0.21916,0.13466,0.10571,0.18128,0.18384,0.14593,0.09037,0.05413,0.02653
60 to 64,0.43972,0.40279,0.22407,0.13504,0.10519,0.08216,0.14302,0.21623,0.14654,0.08637,0.12656,0.13675,0.14581,0.09846,0.10233,0.02885
65 to 69,0.37144,0.29507,0.22753,0.12069,0.07936,0.06012,0.1025,0.14869,0.10232,0.05625,0.06877,0.07592,0.10575,0.08532,0.09173,0.03825
70 to 74,0.26206,0.1574,0.1817,0.08096,0.09776,0.04238,0.05812,0.09865,0.08767,0.05647,0.05105,0.04739,0.08354,0.05092,0.09523,0.03752
75+,0.12857,0.1212,0.16305,0.05606,0.08032,0.02228,0.05633,0.04072,0.03861,0.04548,0.0359,0.02684,0.03656,0.03169,0.03621,0.02655
